Medicine_ID,Generic_Name,Revenue,Profit,Inventory_Value,Waste_Value
MED034239,Calcium Carbonate,0.0,177662.2,526022.36,0.0
MED040325,Losartan Potassium,0.0,177081.12,477007.0,0.0
MED110273,Zinc Oxide,1152.29,176813.57999999996,564252.39,25570.35
MED011952,Loratadine,0.0,176315.46000000005,451148.10000000003,0.0
MED108698,Allopurinol,0.0,175795.68000000005,509665.56,68071.77
MED122790,Loratadine,0.0,175650.7199999999,508761.96,107233.2
MED135391,Fluconazole,0.0,175637.15000000008,477682.53,78973.92
MED104166,Aluminum Chlorohydrate,0.0,174377.75999999995,511762.7,0.0
MED093808,Buspirone Hydrochloride,0.0,173995.9200000001,490040.16,0.0
MED109100,Lurasidone Hydrochloride,0.0,173836.45000000007,464565.5,0.0
MED089760,Zinc Oxide,0.0,171956.26,448915.88,0.0
MED132323,Pantoprazole Sodium,0.0,171698.56,488573.44,38433.04
MED101224,Levetiracetam,0.0,170509.63999999996,478760.94,25788.06
MED036891,Benzocaine,0.0,169892.44000000006,471282.26,41378.26
MED094429,Naproxen Sodium,0.0,169883.36999999994,480970.96,259947.52
MED086568,Clomipramine Hydrochloride,0.0,169769.16000000003,444374.04,53080.62
MED124956,Levocetirizine Dihydrochloride,0.0,168087.8799999999,483945.81000000006,0.0
MED096309,Alcohol,0.0,167570.09999999998,426271.0500000001,0.0
MED012694,Omega-3-Acid Ethyl Esters,0.0,167555.85000000003,510656.19,0.0
MED073742,Calcarea Phosphorica,0.0,167168.86000000004,456701.56,58702.0
MED035971,"Avobenzone, Homosalate, Octisalate, And Octocrylene",0.0,166803.08999999997,421388.99,0.0
MED127776,Dasatinib,0.0,166540.32999999996,508604.91,58492.35
MED072847,Pramipexole Dihydrochloride,0.0,165845.6100000001,549798.48,47905.44
MED093995,Trihexyphenidyl Hydrochloride,0.0,165771.55999999994,437804.92,88338.81
MED036165,"Amanita Muscaria Fruiting Body, Garlic, Aristolochia Clematitis Whole, Simaba Cedron Seed, Goldenseal, Okoubaka Aubrevillei Bark, And Vincetoxicum Hirundinaria Leaf",3837.46,165456.50000000006,419058.2,0.0
MED007479,"Avobenzone, Octisalate And Octocrylene",0.0,165408.31999999995,442645.63,0.0
MED132014,"Comfrey Root, Tribasic Calcium Phosphate",0.0,165360.53000000003,535509.35,0.0
MED040909,Denosumab-Bmwo,0.0,165267.83000000007,531476.7999999999,0.0
MED075335,Clostridium Tetani Toxoid Antigen (Formaldehyde Inactivated) And Corynebacterium Diphtheriae Toxoid Antigen (Formaldehyde Inactivated),0.0,165260.97000000003,461643.56,0.0
MED011633,Venlafaxine Hydrochloride,0.0,165245.39000000013,549387.3899999999,65759.1
MED025424,Docusate Sodium 50Mg And Sennosides 8.6Mg,0.0,165216.83999999997,447255.9,89216.4
MED041007,Dextromethorphan Hydrobromide,0.0,164853.41999999993,420285.9,0.0
MED064571,Dimethyl Fumarate,0.0,164609.27999999997,480496.32,0.0
MED089559,Burts Bees Spf 30 Untinted Lip Balm Coco Loco,0.0,163541.51999999996,428648.36,100634.45
MED037395,Oxymetazoline Hydrochloride,299.2,162307.36,427712.62,0.0
MED051593,Azacitidine,61.74,161424.12,530566.53,0.0
MED049069,Camphor And Menthol,0.0,161375.48999999993,489021.2100000001,0.0
MED093255,Arnica Montana,0.0,160549.64000000013,543708.39,65917.6
MED015096,"Carduus Marianus, Berberis Vulgaris, Chelidonium Majus, Echinacea Purpurea, Zingiber Officinale, Bryonia (Alba), Glandula Suprarenalis (Bovine), Spleen (Suis), Atropinum Sulphuricum, Magnesia Phosphorica, Lycopodium Clavatum",0.0,159454.63999999996,446536.68,101776.26
MED047241,"Croton Tiglium, Natrum Muriaticum, Plantago Major, Rhus Toxicodendron, Sarsaparilla (Smilax Regelii)",0.0,159403.71999999997,418338.62,14717.67
MED065538,Glimepiride,0.0,158271.49999999994,418060.12000000005,58097.18
MED063862,Lamotrigine,272.65,156146.39999999997,404128.8,20206.44
MED083346,Zinc Oxide,0.0,155949.75,414834.75,22627.35
MED041069,"Benzalkonium Chloride, Lidocaine Hci",0.0,155754.85000000003,427728.7,0.0
MED019889,"Acetaminophen, Dextromethorphan Hbr, Guaifenesin, Phenylephrine Hcl",659.03,155642.08000000002,425716.08,98070.72
MED118402,"Arsenic Trioxide,Cinchona Officinalis Bark, Podophyllum",0.0,155569.99999999994,405299.8,0.0
MED129408,Diethylpropion Hydrochloride,1810.68,154971.66000000003,413909.88,0.0
MED080364,"Avobenzone, Homosalate, Octisalate, Octocrylene",0.0,154798.77000000002,581381.64,0.0
MED021667,Carvedilol,0.0,154662.43000000005,437676.22,0.0
MED105937,Oxycodone Hydrochloride,1589.91,154226.8,407015.7,0.0
MED119546,Psyllium Husk,1800.66,153741.07999999996,436811.87,352232.1
MED078872,Sodium Chloride,321.32,153319.5,425438.76,7167.44
MED039446,Octinoxate,0.0,153239.41999999998,446880.94,0.0
MED032601,Diphenhydramine Hcl,0.0,153163.56000000006,397530.98,42550.97
MED023560,Staph/Strep/Respiratory Nosode Combination,0.0,152957.9699999999,488232.36,0.0
MED024120,Phendimetrazine Tartrate,0.0,152815.00999999995,484960.17,0.0
MED052115,Quetiapine Fumarate,0.0,152740.89,433375.14,64979.42
MED103630,Lachesis Muta Venom,0.0,152719.6,605289.1799999999,0.0
MED127931,"Dextromethorphan Hbr, Guaifenesin",0.0,152223.5,387244.0,0.0
MED114004,Lorazepam,0.0,151753.25,404962.6,58850.68
MED090723,Furosemide,0.0,150837.1200000001,471994.56,93415.59
MED094390,Benzalkonium Chloride,0.0,150303.6799999999,537570.24,0.0
MED009934,Esterified Estrogens And Methyltestosterone,0.0,150224.84999999998,490061.5,0.0
MED093709,Zinc Gluconate,0.0,149598.75000000006,391005.93,38601.05
MED093557,"Acetaminophen, Dextromethorphan Hydrobromide, And Doxylamine Succinate",0.0,149259.24,410445.36,0.0
MED102520,Hydrocortisone,0.0,149023.54,447711.06,97691.4
MED108606,Acetaminophen,0.0,148972.96000000008,422669.74,0.0
MED019685,Magnesia Iodata,0.0,148932.94999999995,380769.5,0.0
MED052849,Rabeprazole Sodium,0.0,148894.52000000002,395569.21,1763.31
MED124856,Cladribine,1522.8,148748.64000000007,378664.8,0.0
MED073445,Megnesium Oxide,669.53,148080.45,406807.8,86896.36
MED006106,Sodium Fluoride,0.0,147997.63999999996,449649.06,0.0
MED019917,Salicylic Acid 2%,0.0,147745.7999999998,566742.8400000001,117174.68
MED133325,Pantoprazole,0.0,147440.25000000006,439634.87,55429.86
MED030683,Salicylic Acid,0.0,147427.98000000004,404801.46,15629.4
MED010521,Cilostazol,0.0,146900.52000000002,389083.5,55425.0
MED065636,Erlotinib,1010.3,146895.84000000003,380278.08,0.0
MED038629,"Octinoxate, Titanium Dioxide, Zinc Oxide",0.0,146782.40000000002,458427.62,55190.31
MED073331,Meclizine,0.0,146403.84000000003,384764.16,17489.28
MED026172,Enalapril Maleate,7704.98,146348.63000000003,460588.99,177530.66
MED087409,Sodium Fluoride,0.0,146335.83000000002,378341.28,29730.24
MED033399,"Acetaminophen, Diphenhydramine Hcl",0.0,146313.02000000008,438645.64,0.0
MED054487,Triamcinolone Acetonide,0.0,145991.58000000007,450706.62,10264.54
MED015134,Fluoxetine Hydrochloride,0.0,145810.55999999988,387864.48,0.0
MED036386,Bumetanide,0.0,145789.96000000002,395780.4,0.0
MED101584,Naproxen Sodium,0.0,145756.8,374605.56,97119.96
MED043739,Somatropin,0.0,145225.7699999999,442578.92,67669.28
MED000447,Hexylresorcinol And Menthol,0.0,144976.22999999998,399312.02,24877.94
MED032806,Chlorhexidine Gluconate 4%,1959.81,144367.86,549257.66,0.0
MED039401,Alcohol,0.0,144264.14999999997,391500.6,0.0
MED047886,Amoxicillin,0.0,144217.32000000018,539267.7799999999,112582.0
MED022444,Aluminum Chlorohydrate,0.0,144133.8500000001,401496.1,0.0
MED092620,Articaine Hydrochloride And Epinephrine Bitartrate,0.0,144064.8,419481.12000000005,0.0
MED103004,Dantrolene Sodium,0.0,143388.53999999998,468041.65,57742.35
MED077859,Learning Disability Drops,0.0,142853.19999999995,391939.0,77377.86
MED104755,Naproxen,0.0,142836.10000000003,407059.3,10062.14
MED030557,"Dimethicone, Octinoxate, And Octisalate",0.0,142638.6600000001,518995.14,0.0
MED021018,Ceftriaxone Sodium,0.0,142387.5,433110.0,112608.6
MED088950,Loratadine,0.0,142364.70999999985,548429.9400000001,0.0
MED038657,Pyridostigmine Bromide,0.0,142354.28000000003,404200.88,0.0
MED069023,"Homosalate, Titanium Dioxide, Zinc Oxide",0.0,142345.08000000002,363234.24,32050.08
MED092332,Naproxen,0.0,141986.10000000003,398488.82,33123.92
MED015516,Glycerin,0.0,141950.87999999995,422761.68,112504.48
MED028151,Enoxaparin Sodium,0.0,141901.55000000005,431793.88,0.0
MED101279,Manganum Oxydatum Nigrum,5769.88,141801.70000000013,462615.41,0.0
MED094759,Chlorpheniramine Maleate,0.0,141780.43000000005,369225.14,76597.76
MED080286,Cosibelimab,0.0,141777.24999999994,416162.67,0.0
MED129246,Norelgestromin And Ethinyl Estradiol,0.0,141717.0,436809.78,0.0
MED008252,Levothyroxine Sodium,0.0,140983.50000000006,368047.96,0.0
MED086386,Sodium Chloride,0.0,140871.3200000001,430899.48,41413.68
MED081691,Ranolazine,0.0,140704.03999999998,419384.92,0.0
MED002369,Diclofenac Sodium,0.0,140581.6200000001,509033.58,39068.04
MED114311,Loratadine,0.0,140377.4699999999,405363.37000000005,0.0
MED005755,Hydromorphone Hydrochloride,0.0,140224.24,515857.42,0.0
MED071379,Loratadine,2879.55,139596.47999999998,395903.88,0.0
MED130310,Meloxicam,0.0,139585.60000000003,486652.32,90493.2
MED039374,Furosemide,0.0,139576.94,370663.56,29604.42
MED136240,Dapagliflozin,0.0,139531.24,503513.46,56741.67
MED063596,Acetaminophen And Diphenhydramine Hydrochloride,0.0,139447.96,482022.28,222627.12
MED036935,Bryonia,0.0,139060.71999999997,349720.16000000003,7858.88
MED076489,Medroxyprogesterone Acetate,0.0,138702.2,412757.8,73933.54
MED055542,"Acetaminophen, Guaifenesin, Phenylephrine",0.0,138616.5,388554.0,2005.44
MED113888,"Acetaminophen, Dextromethorphan Hbr, Guaifenesin, Phenylephrine Hcl, Acetaminophen, Dextromethorphan Hbr, Phenylephrine Hcl, Triprolidine Hcl",0.0,138468.96000000008,442380.96,0.0
MED054498,Zinc Pyrithione,0.0,138439.71000000002,446073.98,279248.66000000003
MED121899,"Calendula Officials, Stellaria Media, St. Johns Wort, Rosemary Oil, Plantago Major, Commiphora Myrrha, Comfrey Leaf, Salvia Officinalis, Sunflower Oil",0.0,138427.7400000001,392012.84,25400.4
MED039936,Lisinopril,0.0,138299.88999999998,493045.87,700.96
MED090872,Glo Skin Beauty Clear Skin Spot Treatment,0.0,138225.90999999997,364037.94,16458.12
MED004962,Diphenhydramine Hcl,0.0,138012.5,349562.5,1118.6
MED042737,Buspirone Hydrochloride,0.0,137940.0,389978.16,43107.09
MED124295,Calcium Carbonate,0.0,137937.03000000003,477681.36,57389.28
MED105374,Droxidopa,0.0,137931.05000000005,537244.2,51053.04
MED012344,Nicotine Polacrilex,0.0,137750.91000000003,451255.86,0.0
MED079956,"Acetaminophen, Dextromethorphan Hbr, Guaifenesin, Phenylephrine Hcl",518.0,137586.75,529729.25,84321.68
MED062980,Oxygen,0.0,136936.43999999994,370188.18,64693.08
MED022090,"Camphor (Synthetic), Menthol, Methyl Salicylate",0.0,136916.99999999994,406426.82,20718.07
MED025114,Meloxicam,0.0,136485.91000000003,372680.33,23205.5
MED115832,Varenicline Tartrate,0.0,136387.94,363090.13,35977.64
MED005070,"Octinoxate, Zinc Oxide, Titanium Dioxide",0.0,136244.88999999996,521465.55,61672.8
MED008699,Phenylephrine Hydrochloride,0.0,136072.24,405788.5,34433.75
MED039006,Aluminum Zirconium Trichlorohydrex Gly,0.0,135958.80000000005,356197.17,0.0
MED021289,Pirfenidone,416.91,135538.62000000005,430198.65,0.0
MED013149,Perphenazine,2541.29,135420.6000000001,419356.98,1051.02
MED136274,Hydroxyzine Hydrochloride,0.0,135293.75999999995,386391.6,75131.7
MED131433,Ibuprofen,0.0,134901.90000000002,550349.52,3418.32
MED035030,Isopropyl Alcohol,0.0,134892.58999999997,364030.31,0.0
MED120283,Chlorthalidone,0.0,134832.59999999998,337339.8,5028.1
MED094352,Pramipexole Dihydrochloride,0.0,134757.47999999998,365765.4,0.0
MED079825,Aspirin 81 Mg,0.0,134630.30000000005,467374.6,0.0
MED109203,"Avobenzone, Homosalate, Octyl Salicylate",165.31,134494.9200000001,432816.02,88663.12
MED026445,Sodium Chloride,0.0,134380.80000000005,477744.0,0.0
MED032697,"Olmesartan Medoxomil, Amlodipine And Hydrochlorothiazide",0.0,133857.79000000004,359743.23,0.0
MED123517,Tramadol Hydrochloride,0.0,133795.2,361074.56,42789.68
MED002015,Titanium Dioxide,0.0,133604.64000000007,392090.4,54875.9
MED097294,Bolor Sanitizing Hand Wipes,0.0,133533.0,344170.28,76386.92
MED115612,Vancomycin Hydrochloride,0.0,133424.16000000003,450611.52,0.0
MED096658,"Calc Fluor, Kali Mur, Nat Mur, Silicea",0.0,133421.51999999996,418070.44,0.0
MED069181,Celecoxib,0.0,133299.40000000002,370021.9,77106.36
MED050683,Morphine Sulfate,0.0,133080.84000000003,335232.12,0.0
MED069736,L-Glutamine,0.0,132991.63999999996,429499.16000000003,130736.48
MED123086,Guanfacine,0.0,132934.34999999992,521462.8,0.0
MED000326,Sulfur,0.0,132892.44,372917.94,0.0
MED011302,Acetaminophen And Codeine Phosphate,0.0,132724.09000000003,375906.99,0.0
MED121654,Pregabalin,0.0,132350.40000000008,469702.8,97295.58
MED041431,Zongertinib,0.0,132255.06,448552.44,0.0
MED061037,"Artemisia Vulgaris, Cina, Sabadilla, Spigelia Anthelmia, Filix Mas, Baryta Carbonica, Calcarea Carbonica, Sulphur, Terebinthina",0.0,131962.43000000005,339109.5,91356.0
MED048349,Ezetimibe And Simvastatin,705.26,131667.74,356978.98,0.0
MED093466,Pravastatin Sodium,0.0,131302.08000000007,391383.72,0.0
MED024910,Ibuprofen,0.0,131041.44,376378.44,0.0
MED096102,Zinc Oxide,0.0,130989.24999999994,416116.82,89417.66
MED097267,"Olive Oil, Rice Bran Oil, Natural Beeswax, Bitter Leaf Extract",0.0,130910.06,469202.31,29011.32
MED032858,Theophylline,0.0,130884.79999999992,413982.25,52730.7
MED020844,Olmesartan Medoxomil,0.0,130874.31000000011,405280.53,0.0
MED045189,Diphenhydramine Hcl,536.91,130507.82999999996,360499.0,8020.0
MED026432,Thiothixene,0.0,130424.31000000006,367328.79,76937.32
MED011494,Penicillin V Potassium,0.0,130302.6000000001,412019.76,38681.18
MED068212,Alcohol,0.0,130243.75,512426.25,78474.42
MED018660,Tacrolimus,0.0,130088.46000000002,449759.31,28078.05
MED129047,Simethicone,0.0,130061.0,353613.2,31100.92
MED025855,Sodium Fluoride,0.0,129955.23000000004,388946.34,39979.8
MED032410,Metoclopramide Hydrochloride,831.04,129929.93999999994,498389.92,18776.8
MED063079,"Oxybenzone, Octinoxate, Octisalate, And Homosalate",0.0,129910.09000000004,334931.46,0.0
MED062634,Heparin Sodium,0.0,129768.65999999996,342900.09,0.0
MED059620,Polyethylene Glycol 400,0.0,129702.58000000002,358905.82,0.0
MED101939,Diethylpropion Hydrochloride,0.0,129560.14999999997,391053.31,30593.94
MED103547,Dna,0.0,129222.76,376571.61,0.0
MED038774,Naproxen,524.34,129195.47999999995,500841.87,326088.96
MED056122,"Titanium Dioxide, Zinc Oxide",0.0,128971.70000000011,416140.14,36426.06
MED133081,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",0.0,128967.75000000006,337444.65,71674.29
MED007325,Pulmo Mercurius,1047.22,128796.99000000003,342996.57,0.0
MED092031,Hydrocodone Bitartrate And Acetaminophen,0.0,128599.66999999998,440164.34,0.0
MED101821,Hydrogen Peroxide,296.84,128430.71999999996,361292.8000000001,0.0
MED065332,Amoxicillin,0.0,128345.01,345137.99,73459.81
MED066794,Nortriptyline Hydrochloride,0.0,128329.08000000002,453831.28,39205.32
MED073506,Desipramine Hydrochloride,0.0,128300.56,326828.04,0.0
MED121241,"Docusate Sodium, Sennosides",1043.15,128084.31999999996,536345.68,14657.22
MED095865,Titanium Dioxide,0.0,128063.72000000007,456868.2,100065.0
MED026691,Duloxetine,0.0,127962.95999999996,415425.12,0.0
MED032786,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate, And Amphetamine Sulfate",0.0,127929.53999999998,392515.72,0.0
MED038959,Docusate Sodium And Sennosides,4380.68,127534.46,366597.68,42294.34
MED018936,Famciclovir,0.0,127375.05,426493.11,0.0
MED109207,Caffeine,0.0,127183.41999999998,522181.92,32973.6
MED097467,Liothyronine Sodium,0.0,126854.24,340059.49,0.0
MED075249,Tolvaptan,0.0,126763.00000000012,433033.95,0.0
MED082065,Phenylphrine Hcl,91.54,126751.31999999996,424766.22,0.0
MED127758,Agnus Castus,197.92,126701.11999999994,397754.68,43857.23
MED054246,Fluphenazine Hydrochloride,0.0,126477.12,402238.4,0.0
MED071372,Haloperidol,0.0,126408.75,339699.75,41460.79
MED001074,Letrozole,0.0,126347.13,365192.1,0.0
MED100210,"Zinc Oxide, Titanium Dioxide, Octinoxate",0.0,126344.39999999997,415888.2,77236.38
MED062322,Titanium Dioxide,0.0,126301.90999999996,357760.07,49969.46
MED010636,Docosanol,0.0,126099.19,377899.65,29174.4
MED083788,Rosmarinus Officinalis Rosemary Leaf Oil,0.0,126062.52000000008,436566.2,0.0
MED078401,Salicylic Acid,0.0,126024.62,472968.26,0.0
MED022538,Sepia Officinalis Juice,0.0,126008.15999999992,406322.28,61719.84
MED037869,Rivastigmine Tartrate,0.0,126005.0,472548.76,12818.26
MED069637,Permethrin,0.0,125998.7,451061.18,30949.56
MED032545,Captopril,0.0,125994.07999999996,455489.12,0.0
MED014521,Ivermectin,0.0,125394.71999999996,314527.2,0.0
MED022033,Colloidal Oatmeal,0.0,125365.64999999997,320715.18,6423.48
MED008297,Protamine Sulfate,0.0,125335.08000000002,346549.32,9873.2
MED079766,Metoclopramide Hydrochloride,0.0,125155.68000000004,366394.08,24661.14
MED081820,Denosumab-Bmwo,0.0,124819.8,345474.9,0.0
MED020018,Etomidate,0.0,124711.06000000006,359668.92,8620.56
MED022059,Alcohol,0.0,124632.09000000008,347670.58,0.0
MED062007,Fluticasone Propionate,0.0,124537.91999999998,328291.08,0.0
MED135541,Lorazepam,0.0,124268.94000000006,337521.46,0.0
MED122353,Acetaminophen 80 Mg,0.0,124184.76,337849.47000000003,13493.22
MED000545,Roflumilast,0.0,124173.41000000005,408755.34,30820.86
MED022880,Nuance Salma Hayek Renewed Radiance Moisturizing Day Cream Broad Spectrum Spf 30 Sunscreen,0.0,124136.60000000003,409435.68,68096.52
MED102034,Arnica Montana,0.0,123908.5,476795.5,84317.52
MED005870,Sodium Fluoride,0.0,123783.2,360967.32,68372.64
MED130146,Amoxicillin,0.0,123740.90000000008,453200.56,0.0
MED023625,Naproxen Sodium,0.0,123710.58000000002,360584.0,53156.0
MED000936,Cuprum Metallicum,0.0,123572.4599999999,416157.72,0.0
MED110602,Bismuth Subsalicylate,2912.27,123550.56000000006,394498.24,0.0
MED120254,Temazepam,0.0,123533.76000000008,359929.92,0.0
MED060756,Eyelid Cleansing Wipes,0.0,123493.44,450791.72,111256.78
MED136832,"Niacinamide, Adenosine",0.0,123356.86,381938.92,0.0
MED035182,White Petroleum,0.0,123318.3,308472.15,22663.26
MED070856,Lidocaine Hydrochloride,0.0,123023.96000000002,367946.08,59058.32
MED100797,Ranitidine,0.0,122965.79999999992,427505.4,0.0
MED125059,Clotrimazole Usp1%,0.0,122889.07999999997,323203.76999999996,104842.26000000001
MED069434,Ustekinumab-Ttwe,891.23,122730.3,359835.0,0.0
MED000320,Methadone Hydrochloride,0.0,122498.45999999996,576315.6,4772.8
MED132913,Levothyroxine Sodium,0.0,122401.01999999996,348779.76,6429.12
MED052101,Acetaminophen,0.0,122378.7,392125.2,25298.4
MED024855,Losartan Potassium,0.0,122080.0,403357.5,23049.0
MED008641,Alcohol,0.0,121889.56999999998,442790.32,70812.0
MED067858,Miconazole Nitrate,0.0,121858.5199999999,435096.41,53213.23
MED008350,Itraconazole,0.0,121821.99,318254.35,0.0
MED063421,Cephalexin,0.0,121766.09999999998,364949.3,38690.9
MED005674,Lidocaine,570.36,121704.65999999996,324421.02,45877.72
MED095589,Aspirin,570.38,121591.68,332950.31,48873.44
MED133205,Advanced Coconut Water And Lime Dry Spray 72H Antiperspirant Deodorant,0.0,121404.00000000006,401874.42,47461.99
MED118074,Buprenorphine,0.0,121395.54000000004,546341.16,0.0
MED053138,Isotretinoin,0.0,121362.5,342133.0,0.0
MED129541,Naproxen Sodium,0.0,121314.96000000002,367573.96,0.0
MED124349,Athletes Foot Powder Spray Talc Free,0.0,121311.08000000007,350414.56999999995,0.0
MED012254,"Acetaminophen, Phenylephrine Hydrochloride, Dextromethorphan Hydrobromide",0.0,121243.86999999994,413361.19,110491.39
MED131952,Famotidine,0.0,121153.5,511630.74,0.0
MED036637,Silicea,959.24,121148.2,341721.0,0.0
MED087067,Sildenafil,0.0,121118.54000000004,315403.04,0.0
MED123159,Sodium Monofluorophosphate,0.0,120981.12,320499.36,0.0
MED066870,Azithromycin,0.0,120968.26,346870.3,0.0
MED113878,Sodium Fluoride,0.0,120926.08000000002,344643.2,0.0
MED058179,Arnica Montana Flower Extract,0.0,120910.08000000002,426612.96,11530.08
MED005943,"Acetaminophen, Dextromethorphan Hydrobromide, And Phenylephrine Hydrochloride",0.0,120572.43,483380.7,0.0
MED109879,Ipecacuanha,0.0,120521.0,345144.38,0.0
MED061451,Hydrochlorothiazide,0.0,120507.99999999994,352556.4,0.0
MED018550,Tadalafil,0.0,120487.5,310545.9,43377.84
MED048283,Guaifenesin And Dextromethorphan Hbr,0.0,120441.65999999996,350734.89,0.0
MED072785,Nicotine Polacrilex,0.0,120348.34999999998,437755.25,0.0
MED120229,"Acetaminophen, Dextromethorphan Hbr, Doxylamine Succinate",0.0,120235.26,336921.84,46129.68
MED087521,Lycopus Virginicus,0.0,120061.47999999998,432351.48,19652.34
MED059074,Allopurinol,0.0,120003.90000000002,311436.81,14650.29
MED054522,Canker Cover,0.0,119974.14,378607.13,0.0
MED089672,Terconazole,0.0,119930.74,302467.25,0.0
MED034906,Solanum Dulcamara Top,0.0,119897.68000000012,405396.78,74140.56
MED117217,Lidocaine Hci,0.0,119833.60000000003,365413.12,0.0
MED132595,Flu Immune Drops,0.0,119755.02000000002,307842.81,0.0
MED038474,Telmisartan And Amlodipine,0.0,119732.61999999994,408345.71,87063.28
MED055933,Toiletseatspray,0.0,119710.40000000002,416944.0,0.0
MED013256,Amlodipine Besylate,961.82,119430.33000000002,311154.6,0.0
MED006514,Diphenhydramine Hcl,0.0,119200.57999999997,491038.18,0.0
MED001473,Natrum Phosphoricum,0.0,118913.38000000005,319062.45999999996,6201.6
MED076391,Mercurius Solubilis,0.0,118821.19999999995,305396.9,0.0
MED079968,Benzocaine And Menthol,0.0,118435.03999999998,349392.96,0.0
MED052080,Escitalopram Oxalate,0.0,118426.68000000004,360097.11,0.0
MED135442,Dasatinib,0.0,118334.18,317669.68,76825.16
MED110826,Koneuk Sunscreen Spf50,0.0,118223.0,378063.0,3780.63
MED004711,Miconazole Nitrate,0.0,117976.31999999996,339805.12,0.0
MED009486,Paroxetine Hydrochloride,0.0,117830.99999999988,439173.9,0.0
MED045314,Hemorrhoidal Pain Relief Ointment,0.0,117778.95999999996,427946.5,0.0
MED065410,Emtricitabine And Tenofovir Disoproxil Fumarate,915.86,117725.52000000008,498097.16,0.0
MED124463,Sodium Fluoride 0.24%,0.0,117698.13,359249.88,0.0
MED040721,Febuxostat,0.0,117489.99000000003,306463.38,0.0
MED054251,Ustekinumab-Stba,0.0,117413.43,343878.64,0.0
MED014282,Trospium Chloride,0.0,117351.17000000004,345156.78,215073.1
MED114830,Povidone Iodine,0.0,116942.83999999992,452328.08,0.0
