Waste_Record_ID,Inventory_ID,Medicine_ID,Batch_Number,Waste_Date,Expiry_Date,Quantity_Wasted,Unit_Cost,Total_Waste_Value,Waste_Reason,Disposal_Method,Disposal_Status,Reported_By,Warehouse_Location,Remarks
WR000012,INV002098,MED092803,BAT703070,2026-02-06,2025-11-08,141,418.63,59026.83,Expired,Biohazard Disposal,Completed,EMP006,WH-E,Expired stock removed
WR000013,INV004936,MED077191,BAT773118,2026-06-07,2025-08-02,110,205.75,22632.5,Expired,Recycling,Completed,EMP014,WH-A,Expired stock removed
WR000014,INV003364,MED103865,BAT540507,2026-04-06,2024-12-20,22,364.95,8028.9,Expired,Return to Supplier,Completed,EMP008,WH-E,Medicine expired
WR000015,INV001177,MED023292,BAT648668,2026-07-21,2027-03-30,114,154.49,17611.86,Expired,Incineration,Completed,EMP013,WH-B,Expired stock removed
WR000016,INV003387,MED007673,BAT137552,2026-07-21,2028-05-26,108,410.03,44283.24,Expired,Incineration,Pending,EMP004,WH-C,Expired stock removed
WR000017,INV002466,MED022521,BAT391373,2026-07-03,2024-10-29,142,82.64,11734.88,Overstock,Biohazard Disposal,Completed,EMP013,WH-C,Low demand
WR000018,INV000859,MED117324,BAT146150,2026-07-21,2028-03-07,44,196.99,8667.56,Expired,Return to Supplier,Pending,EMP016,WH-B,Expired stock removed
WR000019,INV003317,MED133877,BAT402152,2026-05-14,2025-12-12,57,8.94,509.58,Recalled,Return to Supplier,Completed,EMP011,WH-E,Safety recall
WR000020,INV001663,MED102388,BAT999507,2026-07-14,2026-06-03,104,518.42,53915.68,Expired,Incineration,Completed,EMP008,WH-D,Expired stock removed
WR000021,INV001194,MED119149,BAT448824,2026-02-11,2028-02-13,4,434.67,1738.68,Overstock,Biohazard Disposal,Completed,EMP006,WH-D,Low demand
WR000022,INV001890,MED021256,BAT566529,2026-02-13,2025-05-05,166,139.26,23117.16,Recalled,Incineration,Completed,EMP012,WH-B,Safety recall
WR000023,INV000398,MED080956,BAT828038,2026-07-21,2028-02-25,66,339.56,22410.96,Expired,Incineration,Completed,EMP010,WH-D,Medicine expired
WR000024,INV004139,MED120020,BAT236789,2026-07-21,2027-09-09,92,230.59,21214.28,Expired,Biohazard Disposal,Completed,EMP008,WH-B,Expired stock removed
WR000025,INV000560,MED115434,BAT384685,2026-07-21,2027-01-08,5,226.09,1130.45,Expired,Recycling,Completed,EMP010,WH-B,Expired stock removed
WR000026,INV000378,MED117264,BAT368322,2026-07-21,2026-12-25,98,34.8,3410.4,Expired,Recycling,Completed,EMP005,WH-C,Expired stock removed
WR000027,INV003048,MED098617,BAT976765,2026-04-27,2029-01-25,7,127.77,894.39,Recalled,Return to Supplier,Pending,EMP003,WH-C,Manufacturer recall
WR000028,INV004015,MED040246,BAT506850,2026-01-26,2027-10-23,152,128.06,19465.12,Damaged,Recycling,Completed,EMP008,WH-E,Packaging damaged
WR000029,INV002261,MED120304,BAT496886,2026-06-16,2026-05-16,117,172.12,20138.04,Damaged,Incineration,Pending,EMP016,WH-E,Broken container
WR000030,INV000054,MED087752,BAT938722,2026-07-21,2027-01-02,26,293.96,7642.96,Expired,Return to Supplier,Completed,EMP012,WH-D,Expired stock removed
WR000031,INV003840,MED101785,BAT117255,2026-07-15,2026-07-14,17,419.98,7139.66,Expired,Recycling,Completed,EMP011,WH-D,Expired stock removed
WR000032,INV002310,MED011130,BAT411941,2026-07-15,2026-06-16,81,92.34,7479.54,Recalled,Return to Supplier,Completed,EMP009,WH-A,Manufacturer recall
WR000033,INV003820,MED000567,BAT240659,2026-01-22,2027-12-25,1,70.8,70.8,Damaged,Recycling,Completed,EMP012,WH-E,Broken container
WR000034,INV003831,MED116418,BAT800284,2026-06-11,2026-02-04,168,135.13,22701.84,Contaminated,Return to Supplier,Pending,EMP018,WH-A,Quality issue
WR000035,INV003749,MED110484,BAT367833,2026-07-20,2026-11-15,107,106.94,11442.58,Damaged,Incineration,Completed,EMP016,WH-D,Packaging damaged
WR000036,INV003079,MED089895,BAT815252,2026-07-21,2026-09-01,198,460.16,91111.68,Expired,Incineration,Completed,EMP008,WH-D,Expired stock removed
WR000037,INV000978,MED067199,BAT621249,2026-07-21,2028-10-05,199,233.85,46536.15,Expired,Recycling,Completed,EMP013,WH-E,Medicine expired
WR000038,INV001236,MED061762,BAT201690,2026-07-21,2027-04-01,4,177.16,708.64,Expired,Recycling,Completed,EMP018,WH-D,Expired stock removed
WR000039,INV002671,MED119909,BAT355890,2026-07-21,2028-09-14,29,448.14,12996.06,Expired,Incineration,Completed,EMP008,WH-A,Medicine expired
WR000040,INV004835,MED013500,BAT901616,2026-05-31,2026-02-15,45,193.01,8685.45,Damaged,Biohazard Disposal,Completed,EMP004,WH-C,Packaging damaged
WR000041,INV003472,MED073742,BAT709187,2026-02-04,2026-07-02,100,587.02,58702.0,Recalled,Return to Supplier,Completed,EMP008,WH-D,Manufacturer recall
WR000042,INV002827,MED133985,BAT186178,2026-03-11,2026-08-28,30,292.55,8776.5,Overstock,Recycling,Completed,EMP014,WH-E,Excess inventory
WR000043,INV001342,MED050977,BAT739206,2026-07-21,2026-08-22,109,465.9,50783.1,Expired,Incineration,Completed,EMP013,WH-E,Medicine expired
WR000044,INV003147,MED027934,BAT246286,2026-05-28,2025-05-16,128,231.83,29674.24,Expired,Biohazard Disposal,Completed,EMP004,WH-E,Expired stock removed
WR000045,INV003257,MED007280,BAT732532,2026-05-02,2028-08-28,180,404.92,72885.6,Contaminated,Return to Supplier,Completed,EMP005,WH-B,Contaminated during storage
WR000046,INV001764,MED097267,BAT139738,2026-06-15,2027-11-06,52,557.91,29011.32,Damaged,Return to Supplier,Completed,EMP005,WH-E,Packaging damaged
WR000047,INV003299,MED136146,BAT986904,2026-06-11,2026-02-16,137,344.58,47207.46,Expired,Biohazard Disposal,Completed,EMP001,WH-A,Medicine expired
WR000048,INV004500,MED001474,BAT294676,2026-01-25,2027-08-27,19,458.72,8715.68,Overstock,Biohazard Disposal,Completed,EMP011,WH-E,Low demand
WR000049,INV003010,MED060013,BAT686379,2026-06-25,2026-05-03,163,280.19,45670.97,Expired,Recycling,Completed,EMP015,WH-A,Medicine expired
WR000050,INV001142,MED028026,BAT857630,2026-07-21,2028-01-28,65,298.51,19403.15,Expired,Recycling,Pending,EMP002,WH-E,Medicine expired
WR000051,INV002993,MED000487,BAT358927,2026-07-21,2026-12-10,2,176.91,353.82,Expired,Return to Supplier,Completed,EMP010,WH-D,Expired stock removed
WR000052,INV004918,MED099095,BAT871784,2026-07-21,2028-08-04,191,404.75,77307.25,Expired,Biohazard Disposal,Pending,EMP010,WH-A,Expired stock removed
WR000053,INV003625,MED073400,BAT784844,2026-02-16,2028-06-15,174,133.89,23296.86,Overstock,Return to Supplier,Completed,EMP002,WH-B,Excess inventory
WR000054,INV001461,MED040439,BAT196520,2026-06-12,2025-07-29,31,275.54,8541.74,Expired,Biohazard Disposal,Completed,EMP017,WH-E,Medicine expired
WR000055,INV001813,MED040580,BAT935626,2026-07-04,2026-02-14,72,156.41,11261.52,Contaminated,Return to Supplier,Completed,EMP003,WH-D,Contaminated during storage
WR000056,INV000005,MED089590,BAT969693,2026-05-02,2028-01-16,140,32.27,4517.8,Overstock,Biohazard Disposal,Completed,EMP018,WH-A,Excess inventory
WR000057,INV002992,MED074375,BAT128648,2026-05-23,2026-04-11,88,372.85,32810.8,Recalled,Return to Supplier,Completed,EMP011,WH-D,Manufacturer recall
WR000058,INV002147,MED002289,BAT408972,2025-12-23,2025-06-08,57,570.5,32518.5,Expired,Biohazard Disposal,Completed,EMP002,WH-A,Expired stock removed
WR000059,INV000469,MED073701,BAT372387,2026-07-21,2027-06-19,92,209.76,19297.92,Expired,Recycling,Completed,EMP005,WH-E,Expired stock removed
WR000060,INV004276,MED124526,BAT214682,2026-04-05,2025-12-04,83,232.7,19314.1,Damaged,Biohazard Disposal,Completed,EMP010,WH-A,Packaging damaged
WR000061,INV002729,MED069310,BAT951375,2026-07-21,2026-07-24,23,110.07,2531.61,Expired,Biohazard Disposal,Completed,EMP020,WH-E,Medicine expired
WR000062,INV003765,MED012895,BAT883844,2026-07-11,2026-07-09,10,372.99,3729.9,Expired,Return to Supplier,Completed,EMP004,WH-E,Medicine expired
WR000063,INV002439,MED019772,BAT166733,2026-07-14,2027-01-06,9,539.05,4851.45,Contaminated,Biohazard Disposal,Completed,EMP013,WH-A,Contaminated during storage
WR000064,INV002913,MED064410,BAT841571,2026-03-19,2025-08-30,186,519.34,96597.24,Overstock,Biohazard Disposal,Completed,EMP015,WH-B,Low demand
WR000065,INV000588,MED129586,BAT427679,2026-06-04,2025-08-27,82,283.98,23286.36,Expired,Incineration,Completed,EMP006,WH-E,Medicine expired
WR000066,INV004129,MED010656,BAT276410,2026-02-08,2027-09-13,13,563.87,7330.31,Recalled,Biohazard Disposal,Completed,EMP001,WH-B,Safety recall
WR000067,INV001957,MED069736,BAT807736,2026-02-12,2025-11-04,113,578.48,65368.24,Expired,Recycling,Completed,EMP004,WH-E,Medicine expired
WR000068,INV002594,MED105479,BAT508877,2026-05-08,2025-08-25,21,268.34,5635.14,Contaminated,Return to Supplier,Completed,EMP012,WH-A,Contaminated during storage
WR000069,INV004496,MED062826,BAT855868,2026-03-11,2028-01-23,124,335.23,41568.52,Damaged,Biohazard Disposal,Completed,EMP008,WH-C,Packaging damaged
WR000070,INV003450,MED064922,BAT716220,2026-07-21,2027-10-31,198,494.75,97960.5,Expired,Incineration,Completed,EMP012,WH-B,Medicine expired
WR000071,INV004879,MED021777,BAT185985,2026-03-20,2028-10-02,172,506.26,87076.72,Damaged,Return to Supplier,Completed,EMP007,WH-A,Packaging damaged
WR000072,INV003417,MED033894,BAT932917,2026-05-13,2029-01-20,80,37.11,2968.8,Overstock,Recycling,Completed,EMP012,WH-C,Low demand
WR000073,INV003616,MED083879,BAT159440,2026-06-05,2026-12-20,45,281.59,12671.55,Contaminated,Incineration,Completed,EMP013,WH-C,Contaminated during storage
WR000074,INV003559,MED038629,BAT855281,2026-07-05,2025-05-28,111,497.21,55190.31,Expired,Biohazard Disposal,Pending,EMP001,WH-E,Expired stock removed
WR000075,INV003543,MED011633,BAT420668,2026-04-13,2026-04-07,110,597.81,65759.1,Expired,Return to Supplier,Completed,EMP007,WH-B,Expired stock removed
WR000076,INV001743,MED131241,BAT944483,2026-07-21,2027-07-19,64,81.28,5201.92,Expired,Return to Supplier,Completed,EMP007,WH-A,Medicine expired
WR000077,INV001759,MED097003,BAT264190,2026-04-29,2027-08-29,97,264.9,25695.3,Damaged,Return to Supplier,Completed,EMP008,WH-E,Broken container
WR000078,INV004469,MED008689,BAT678192,2026-05-21,2025-08-23,16,533.01,8528.16,Damaged,Biohazard Disposal,Completed,EMP017,WH-B,Packaging damaged
WR000079,INV000943,MED069266,BAT403527,2026-07-21,2027-05-08,113,152.41,17222.33,Contaminated,Recycling,Completed,EMP013,WH-B,Quality issue
WR000080,INV002255,MED075004,BAT586457,2026-07-21,2028-11-23,184,288.58,53098.72,Expired,Biohazard Disposal,Completed,EMP001,WH-D,Medicine expired
WR000081,INV001269,MED037311,BAT594908,2026-03-05,2027-02-21,54,437.39,23619.06,Overstock,Biohazard Disposal,Completed,EMP008,WH-D,Low demand
WR000082,INV003844,MED022538,BAT801435,2026-04-11,2025-04-27,144,428.61,61719.84,Damaged,Incineration,Completed,EMP012,WH-A,Broken container
WR000083,INV003327,MED029341,BAT594641,2026-06-08,2025-06-05,30,286.32,8589.6,Damaged,Biohazard Disposal,Completed,EMP001,WH-A,Packaging damaged
WR000084,INV001842,MED061582,BAT826886,2026-03-25,2026-03-11,101,83.96,8479.96,Expired,Incineration,Completed,EMP010,WH-D,Expired stock removed
WR000085,INV004590,MED039591,BAT769453,2026-04-24,2027-09-23,140,382.55,53557.0,Contaminated,Biohazard Disposal,Completed,EMP008,WH-C,Contaminated during storage
WR000086,INV001118,MED133720,BAT949602,2026-07-21,2027-09-21,165,263.28,43441.2,Expired,Incineration,Completed,EMP018,WH-A,Expired stock removed
WR000087,INV004109,MED065976,BAT570627,2026-04-12,2028-12-06,17,263.48,4479.16,Damaged,Return to Supplier,Completed,EMP007,WH-E,Packaging damaged
WR000088,INV003182,MED005686,BAT749326,2026-07-21,2026-10-29,25,596.39,14909.75,Expired,Return to Supplier,Completed,EMP004,WH-E,Expired stock removed
WR000089,INV003782,MED034638,BAT620461,2026-07-21,2027-09-09,76,371.85,28260.6,Expired,Return to Supplier,Completed,EMP020,WH-E,Medicine expired
WR000090,INV003374,MED055934,BAT856768,2026-07-21,2027-03-13,45,503.87,22674.15,Expired,Recycling,Completed,EMP005,WH-B,Expired stock removed
WR000091,INV004517,MED001814,BAT778557,2026-05-30,2029-01-10,61,120.63,7358.43,Contaminated,Incineration,Completed,EMP003,WH-C,Quality issue
WR000092,INV003702,MED073445,BAT611539,2026-07-13,2027-07-21,157,553.48,86896.36,Recalled,Recycling,Completed,EMP005,WH-B,Safety recall
WR000093,INV003384,MED092057,BAT233563,2026-07-21,2026-10-27,122,360.94,44034.68,Expired,Return to Supplier,Completed,EMP017,WH-A,Expired stock removed
WR000094,INV001203,MED076065,BAT132975,2026-07-18,2026-07-01,59,88.19,5203.21,Expired,Incineration,Completed,EMP012,WH-E,Expired stock removed
WR000095,INV003567,MED065901,BAT185793,2026-05-16,2028-07-12,147,93.62,13762.14,Damaged,Return to Supplier,Completed,EMP016,WH-C,Packaging damaged
WR000096,INV001334,MED036684,BAT357269,2026-07-21,2026-12-14,132,91.5,12078.0,Expired,Return to Supplier,Completed,EMP013,WH-E,Expired stock removed
WR000097,INV000117,MED077562,BAT546980,2026-03-07,2026-05-17,20,196.66,3933.2,Overstock,Biohazard Disposal,Completed,EMP013,WH-C,Excess inventory
WR000098,INV004370,MED092490,BAT192897,2026-04-09,2028-07-14,155,141.01,21856.55,Damaged,Recycling,Completed,EMP014,WH-D,Broken container
WR000099,INV001196,MED033253,BAT529131,2026-03-19,2027-02-24,182,338.53,61612.46,Damaged,Biohazard Disposal,Completed,EMP018,WH-E,Packaging damaged
WR000100,INV000694,MED007197,BAT789719,2026-07-21,2028-05-20,35,163.64,5727.4,Expired,Recycling,Completed,EMP003,WH-A,Expired stock removed
WR000101,INV004133,MED121391,BAT327210,2026-07-21,2027-11-05,65,149.1,9691.5,Expired,Return to Supplier,Completed,EMP007,WH-C,Expired stock removed
WR000102,INV002706,MED109207,BAT895349,2026-06-23,2025-07-23,55,599.52,32973.6,Expired,Return to Supplier,Completed,EMP020,WH-B,Medicine expired
WR000103,INV001704,MED124416,BAT285938,2026-07-21,2028-01-31,53,419.17,22216.01,Expired,Incineration,Completed,EMP008,WH-A,Expired stock removed
WR000104,INV002434,MED106881,BAT344864,2026-01-30,2026-06-08,65,465.54,30260.1,Overstock,Return to Supplier,Completed,EMP004,WH-B,Low demand
WR000105,INV004318,MED006448,BAT712011,2026-07-21,2026-07-29,6,474.92,2849.52,Expired,Return to Supplier,Completed,EMP011,WH-E,Expired stock removed
WR000106,INV003501,MED015633,BAT440735,2026-04-04,2027-06-02,183,224.81,41140.23,Contaminated,Recycling,Completed,EMP006,WH-D,Quality issue
WR000107,INV002657,MED038903,BAT928479,2026-06-26,2027-06-01,77,264.32,20352.64,Damaged,Biohazard Disposal,Pending,EMP006,WH-C,Packaging damaged
WR000108,INV001946,MED034906,BAT787959,2026-06-03,2025-10-18,156,475.26,74140.56,Expired,Incineration,Completed,EMP019,WH-A,Medicine expired
WR000110,INV002942,MED028559,BAT543653,2026-07-07,2026-07-10,127,456.1,57924.7,Contaminated,Return to Supplier,Completed,EMP003,WH-E,Contaminated during storage
WR000111,INV001295,MED119852,BAT482801,2026-06-07,2025-07-24,76,187.11,14220.36,Overstock,Biohazard Disposal,Completed,EMP020,WH-E,Low demand
WR000112,INV002189,MED089559,BAT436542,2026-06-04,2025-06-27,185,543.97,100634.45,Overstock,Recycling,Completed,EMP007,WH-A,Low demand
WR000113,INV003339,MED042000,BAT142946,2026-07-21,2026-12-31,6,413.03,2478.18,Expired,Recycling,Completed,EMP015,WH-E,Medicine expired
WR000114,INV003948,MED019195,BAT569636,2026-07-21,2027-05-30,182,446.07,81184.74,Expired,Biohazard Disposal,Completed,EMP002,WH-C,Medicine expired
WR000115,INV000149,MED070117,BAT906814,2026-06-30,2028-02-02,188,254.1,47770.8,Damaged,Recycling,Completed,EMP013,WH-E,Packaging damaged
WR000116,INV001794,MED130489,BAT832829,2026-07-21,2028-07-24,39,190.41,7425.99,Expired,Biohazard Disposal,Completed,EMP006,WH-C,Expired stock removed
WR000117,INV003235,MED018796,BAT969383,2025-02-22,2025-02-08,4,506.45,2025.8,Expired,Biohazard Disposal,Completed,EMP001,WH-B,Expired stock removed
WR000118,INV003685,MED073042,BAT397466,2026-07-21,2027-09-12,197,290.26,57181.22,Expired,Incineration,Completed,EMP015,WH-D,Expired stock removed
WR000119,INV002260,MED133121,BAT700414,2026-07-21,2027-02-13,195,103.48,20178.6,Expired,Incineration,Completed,EMP007,WH-C,Medicine expired
WR000120,INV001624,MED029328,BAT926968,2026-07-14,2027-09-17,3,411.49,1234.47,Recalled,Incineration,Completed,EMP013,WH-A,Safety recall
WR000121,INV000043,MED032218,BAT797229,2026-03-20,2028-05-21,66,184.07,12148.62,Recalled,Return to Supplier,Completed,EMP018,WH-C,Safety recall
WR000122,INV003911,MED094996,BAT261858,2026-07-01,2028-06-03,7,138.73,971.11,Recalled,Incineration,Pending,EMP010,WH-C,Safety recall
WR000123,INV001151,MED039616,BAT714825,2026-04-29,2027-03-22,182,95.1,17308.2,Recalled,Recycling,Completed,EMP007,WH-D,Safety recall
WR000124,INV001386,MED066738,BAT658162,2026-07-16,2027-03-31,91,284.39,25879.49,Damaged,Incineration,Completed,EMP001,WH-B,Packaging damaged
WR000125,INV002820,MED120504,BAT209394,2026-07-21,2027-04-19,89,529.05,47085.45,Expired,Return to Supplier,Completed,EMP018,WH-B,Medicine expired
WR000126,INV004899,MED088259,BAT164220,2026-03-19,2024-12-20,41,81.88,3357.08,Damaged,Biohazard Disposal,Completed,EMP004,WH-C,Broken container
WR000127,INV001095,MED018696,BAT495972,2026-07-21,2026-12-04,54,121.45,6558.3,Expired,Biohazard Disposal,Completed,EMP004,WH-C,Medicine expired
WR000128,INV002620,MED121915,BAT525235,2026-02-14,2028-04-29,151,307.91,46494.41,Damaged,Biohazard Disposal,Completed,EMP006,WH-E,Broken container
WR000129,INV000606,MED011974,BAT699098,2026-07-08,2027-11-30,6,93.57,561.42,Recalled,Return to Supplier,Pending,EMP012,WH-D,Safety recall
WR000130,INV002295,MED042702,BAT441902,2026-07-21,2028-04-26,25,203.73,5093.25,Expired,Biohazard Disposal,Pending,EMP013,WH-A,Expired stock removed
WR000131,INV000332,MED026172,BAT177289,2026-05-03,2025-06-18,17,571.24,9711.08,Expired,Incineration,Completed,EMP011,WH-D,Expired stock removed
WR000132,INV004981,MED071233,BAT479051,2026-04-24,2025-03-29,156,256.14,39957.84,Damaged,Biohazard Disposal,Completed,EMP018,WH-C,Broken container
WR000133,INV004599,MED038626,BAT343306,2026-04-01,2026-01-09,133,189.08,25147.64,Damaged,Biohazard Disposal,Completed,EMP011,WH-C,Packaging damaged
WR000134,INV000743,MED018692,BAT545554,2026-07-21,2027-02-05,166,488.63,81112.58,Expired,Incineration,Completed,EMP010,WH-A,Expired stock removed
WR000135,INV002399,MED133089,BAT725346,2026-04-15,2028-09-24,12,205.3,2463.6,Damaged,Recycling,Completed,EMP002,WH-A,Packaging damaged
WR000136,INV003984,MED044275,BAT981222,2026-07-21,2027-01-19,122,320.59,39111.98,Expired,Return to Supplier,Pending,EMP008,WH-A,Expired stock removed
WR000137,INV000782,MED050313,BAT574348,2026-07-21,2027-06-01,25,84.02,2100.5,Expired,Biohazard Disposal,Completed,EMP012,WH-D,Medicine expired
WR000138,INV000622,MED028456,BAT741780,2026-04-18,2026-09-03,142,7.72,1096.24,Contaminated,Recycling,Completed,EMP010,WH-E,Contaminated during storage
WR000139,INV001370,MED053841,BAT126539,2026-02-01,2027-03-04,69,176.24,12160.56,Overstock,Return to Supplier,Completed,EMP005,WH-C,Excess inventory
WR000140,INV004949,MED005889,BAT648416,2026-07-21,2027-11-08,47,408.85,19215.95,Expired,Recycling,Completed,EMP006,WH-B,Expired stock removed
WR000141,INV004435,MED052517,BAT273833,2026-07-09,2025-10-21,197,227.4,44797.8,Recalled,Return to Supplier,Completed,EMP019,WH-C,Safety recall
WR000142,INV003140,MED089903,BAT242714,2026-06-13,2027-01-31,33,579.82,19134.06,Damaged,Biohazard Disposal,Completed,EMP005,WH-D,Packaging damaged
WR000143,INV000656,MED060585,BAT490941,2025-07-07,2025-05-05,139,586.63,81541.57,Expired,Incineration,Completed,EMP006,WH-B,Expired stock removed
WR000144,INV002621,MED088340,BAT529042,2026-03-12,2026-12-05,19,401.73,7632.87,Recalled,Incineration,Completed,EMP004,WH-D,Manufacturer recall
WR000145,INV001558,MED077521,BAT131236,2026-05-01,2027-06-06,16,466.64,7466.24,Recalled,Biohazard Disposal,Completed,EMP002,WH-B,Safety recall
WR000146,INV003822,MED036939,BAT104646,2026-03-31,2027-03-22,159,250.87,39888.33,Damaged,Recycling,Completed,EMP005,WH-B,Broken container
WR000147,INV001291,MED130310,BAT519753,2026-05-30,2025-12-31,180,502.74,90493.2,Damaged,Incineration,Completed,EMP013,WH-C,Broken container
WR000148,INV002384,MED054514,BAT849870,2026-07-21,2029-01-04,67,43.21,2895.07,Expired,Incineration,Completed,EMP011,WH-E,Medicine expired
WR000149,INV003649,MED090428,BAT611338,2026-05-16,2026-06-29,40,89.34,3573.6,Damaged,Recycling,Completed,EMP012,WH-E,Broken container
WR000150,INV004011,MED000206,BAT761821,2026-04-04,2027-10-31,168,167.37,28118.16,Damaged,Recycling,Completed,EMP005,WH-C,Packaging damaged
WR000151,INV003409,MED079534,BAT490179,2026-02-26,2026-06-13,99,80.08,7927.92,Damaged,Incineration,Completed,EMP019,WH-C,Packaging damaged
WR000152,INV002034,MED116276,BAT835571,2026-07-21,2027-09-18,131,322.65,42267.15,Expired,Return to Supplier,Completed,EMP012,WH-C,Expired stock removed
WR000153,INV000194,MED080679,BAT989587,2026-07-21,2026-09-10,73,338.73,24727.29,Expired,Incineration,Completed,EMP009,WH-E,Expired stock removed
WR000154,INV000435,MED005112,BAT145240,2026-07-21,2026-09-24,60,379.58,22774.8,Expired,Return to Supplier,Pending,EMP005,WH-B,Expired stock removed
WR000155,INV001108,MED089262,BAT221197,2026-07-21,2027-03-28,59,214.31,12644.29,Expired,Recycling,Completed,EMP006,WH-B,Medicine expired
WR000156,INV003080,MED051085,BAT266327,2026-07-21,2027-09-07,121,428.01,51789.21,Expired,Incineration,Completed,EMP012,WH-E,Medicine expired
WR000157,INV002367,MED067807,BAT339026,2026-07-12,2026-10-31,41,131.39,5386.99,Damaged,Return to Supplier,Pending,EMP006,WH-A,Packaging damaged
WR000158,INV003169,MED097898,BAT488868,2026-04-19,2026-08-07,127,147.79,18769.33,Contaminated,Recycling,Completed,EMP009,WH-E,Contaminated during storage
WR000159,INV002520,MED005281,BAT207297,2026-04-16,2027-12-16,93,50.93,4736.49,Damaged,Biohazard Disposal,Completed,EMP002,WH-E,Broken container
WR000160,INV003793,MED061637,BAT474426,2026-07-21,2027-03-25,110,128.78,14165.8,Expired,Incineration,Pending,EMP013,WH-A,Expired stock removed
WR000161,INV000842,MED052906,BAT573469,2026-07-11,2026-05-29,1,333.98,333.98,Expired,Incineration,Completed,EMP003,WH-E,Expired stock removed
WR000162,INV003136,MED011494,BAT391121,2026-07-12,2024-10-21,89,434.62,38681.18,Damaged,Return to Supplier,Completed,EMP011,WH-B,Packaging damaged
WR000163,INV000132,MED068601,BAT524068,2026-03-04,2027-08-14,30,579.89,17396.7,Recalled,Biohazard Disposal,Completed,EMP015,WH-D,Manufacturer recall
WR000164,INV003452,MED066551,BAT531209,2026-05-19,2027-06-29,6,124.74,748.44,Contaminated,Recycling,Completed,EMP005,WH-C,Contaminated during storage
WR000165,INV000473,MED096794,BAT384424,2026-07-21,2029-01-01,33,314.96,10393.68,Expired,Recycling,Completed,EMP015,WH-B,Expired stock removed
WR000166,INV003590,MED130680,BAT941300,2026-07-21,2026-12-07,65,472.17,30691.05,Expired,Return to Supplier,Completed,EMP003,WH-C,Expired stock removed
WR000167,INV003390,MED073941,BAT958959,2026-07-21,2027-12-13,56,151.19,8466.64,Expired,Incineration,Completed,EMP002,WH-D,Expired stock removed
WR000168,INV004441,MED124295,BAT976132,2026-07-21,2028-03-11,102,562.64,57389.28,Expired,Incineration,Completed,EMP019,WH-D,Medicine expired
WR000169,INV002066,MED096196,BAT547871,2026-03-13,2026-01-22,174,534.33,92973.42,Expired,Incineration,Completed,EMP007,WH-A,Medicine expired
WR000170,INV000490,MED129093,BAT713099,2026-04-30,2026-03-12,4,350.74,1402.96,Recalled,Recycling,Completed,EMP009,WH-E,Manufacturer recall
WR000171,INV004679,MED041804,BAT786601,2026-07-21,2027-05-22,170,62.98,10706.6,Expired,Recycling,Completed,EMP019,WH-E,Medicine expired
WR000172,INV000994,MED123420,BAT625986,2026-02-13,2029-04-27,164,558.49,91592.36,Damaged,Incineration,Completed,EMP009,WH-C,Packaging damaged
WR000173,INV003227,MED076205,BAT807931,2026-05-05,2029-01-08,54,295.15,15938.1,Damaged,Recycling,Pending,EMP003,WH-D,Broken container
WR000174,INV003099,MED134045,BAT182995,2026-04-08,2026-07-17,120,541.41,64969.2,Overstock,Return to Supplier,Pending,EMP001,WH-D,Excess inventory
WR000175,INV001171,MED117195,BAT897527,2026-03-10,2025-12-03,164,190.32,31212.48,Damaged,Incineration,Completed,EMP004,WH-A,Broken container
