Inventory_ID,Medicine_ID,Supplier_ID,Batch_Number,Manufacturing_Date,Expiry_Date,Quantity_In_Stock,Unit_Cost,Selling_Price,Reorder_Level,Storage_Temperature,Warehouse_Location,Stock_Status,Last_Restock_Date
INV004331,MED000022,SUP0020,BAT216124,2025-08-01,2026-12-24,974,448.47,593.97,70,Frozen (-20°C),WH-B,In Stock,2025-12-09
INV001488,MED000023,SUP0048,BAT162908,2026-05-30,2027-05-25,537,163.2,213.16,195,Refrigerated (2–8°C),WH-B,In Stock,2026-07-12
INV001533,MED000023,SUP0013,BAT253028,2025-01-23,2026-02-17,521,380.25,484.53,80,Refrigerated (2–8°C),WH-D,In Stock,2025-02-13
INV002326,MED000023,SUP0050,BAT537206,2025-10-13,2026-12-07,971,352.13,435.02,170,Refrigerated (2–8°C),WH-D,In Stock,2026-02-21
INV002648,MED000023,SUP0073,BAT833203,2024-08-22,2026-10-11,406,570.01,796.82,46,Refrigerated (2–8°C),WH-B,In Stock,2025-02-17
INV003768,MED000023,SUP0047,BAT213183,2024-01-21,2027-01-05,64,157.09,201.93,74,Room Temperature,WH-D,Low Stock,2024-03-16
INV002171,MED000024,SUP0064,BAT871152,2025-12-16,2028-01-05,229,190.67,256.47,91,Refrigerated (2–8°C),WH-B,In Stock,2026-03-24
INV002266,MED000024,SUP0002,BAT734896,2025-11-22,2027-11-12,851,28.66,36.74,138,Room Temperature,WH-C,In Stock,2026-01-19
INV000869,MED000025,SUP0050,BAT323103,2026-02-14,2027-09-07,673,391.72,498.97,96,Room Temperature,WH-B,In Stock,2026-03-17
INV003706,MED000025,SUP0060,BAT607737,2024-02-03,2026-10-20,178,408.22,547.23,85,Room Temperature,WH-B,In Stock,2024-07-09
INV001131,MED000026,SUP0016,BAT421802,2025-05-08,2026-12-29,454,15.27,18.35,143,Room Temperature,WH-C,In Stock,2025-07-07
INV001771,MED000027,SUP0067,BAT202161,2025-08-09,2027-09-28,151,23.14,31.1,176,Refrigerated (2–8°C),WH-A,Low Stock,2025-09-20
INV002572,MED000027,SUP0016,BAT744810,2025-03-17,2028-03-01,200,370.5,512.21,198,Room Temperature,WH-D,In Stock,2025-06-30
INV003796,MED000028,SUP0055,BAT541155,2025-09-25,2026-12-19,386,377.86,471.75,177,Refrigerated (2–8°C),WH-C,In Stock,2025-10-16
INV001691,MED000029,SUP0021,BAT770105,2024-01-25,2026-04-14,549,65.89,81.62,71,Frozen (-20°C),WH-D,In Stock,2024-07-08
INV002399,MED000029,SUP0006,BAT357016,2025-10-27,2027-04-20,678,382.4,519.59,116,Refrigerated (2–8°C),WH-C,In Stock,2026-03-21
INV003133,MED000029,SUP0057,BAT103778,2025-01-29,2027-02-18,490,277.6,381.29,144,Refrigerated (2–8°C),WH-A,In Stock,2025-05-05
INV004562,MED000029,SUP0070,BAT778557,2026-06-25,2029-01-10,228,120.63,147.76,165,Frozen (-20°C),WH-C,In Stock,2026-07-20
INV000597,MED000030,SUP0015,BAT733152,2024-07-12,2026-12-29,674,225.01,277.91,139,Frozen (-20°C),WH-B,In Stock,2024-09-03
INV001018,MED000030,SUP0020,BAT580938,2024-05-18,2026-08-06,116,246.8,321.86,197,Room Temperature,WH-D,Low Stock,2024-08-22
INV001206,MED000030,SUP0052,BAT536604,2023-11-23,2025-01-16,844,92.77,116.27,153,Room Temperature,WH-D,In Stock,2024-01-26
INV001697,MED000031,SUP0043,BAT665260,2026-01-22,2027-04-17,414,94.45,114.72,170,Frozen (-20°C),WH-B,In Stock,2026-04-14
INV002198,MED000031,SUP0022,BAT782970,2024-12-28,2027-09-14,198,131.91,168.72,59,Room Temperature,WH-B,In Stock,2025-03-28
INV002272,MED000031,SUP0074,BAT441379,2024-10-30,2026-12-19,204,257.08,331.36,94,Refrigerated (2–8°C),WH-B,In Stock,2024-12-28
INV004494,MED000031,SUP0040,BAT827729,2024-08-03,2026-10-22,382,478.02,583.74,151,Room Temperature,WH-B,In Stock,2024-12-25
INV000094,MED000032,SUP0019,BAT529893,2024-06-01,2025-07-26,800,206.44,276.33,92,Frozen (-20°C),WH-A,In Stock,2024-10-14
INV004235,MED000032,SUP0042,BAT343938,2025-07-19,2027-05-10,531,513.16,709.93,58,Frozen (-20°C),WH-A,In Stock,2025-12-10
INV004311,MED000032,SUP0001,BAT536132,2023-12-26,2025-06-18,390,165.6,221.65,110,Refrigerated (2–8°C),WH-D,In Stock,2024-05-23
INV000116,MED000033,SUP0023,BAT378258,2023-11-05,2025-02-27,538,448.67,581.14,54,Refrigerated (2–8°C),WH-E,In Stock,2024-03-06
INV001715,MED000033,SUP0042,BAT892710,2026-04-14,2029-03-29,844,138.4,171.45,91,Frozen (-20°C),WH-E,In Stock,2026-07-11
INV004089,MED000033,SUP0074,BAT658506,2025-04-30,2027-10-17,621,60.41,81.57,167,Refrigerated (2–8°C),WH-B,In Stock,2025-06-13
INV001063,MED000034,SUP0059,BAT296114,2025-01-17,2026-01-12,677,274.32,343.75,160,Frozen (-20°C),WH-A,In Stock,2025-06-02
INV001472,MED000034,SUP0004,BAT410152,2024-03-24,2025-09-15,847,47.45,59.35,199,Room Temperature,WH-D,In Stock,2024-05-25
INV004840,MED000034,SUP0011,BAT567892,2024-05-25,2026-11-11,751,409.13,522.16,54,Refrigerated (2–8°C),WH-A,In Stock,2024-08-31
INV004772,MED000035,SUP0001,BAT379279,2025-08-07,2028-03-24,934,85.45,108.76,179,Frozen (-20°C),WH-B,In Stock,2026-01-04
INV004925,MED000035,SUP0011,BAT942902,2024-09-03,2025-11-27,216,252.69,349.51,86,Refrigerated (2–8°C),WH-C,In Stock,2024-11-27
INV001235,MED000036,SUP0058,BAT440401,2025-03-21,2027-11-06,610,217.56,262.67,53,Frozen (-20°C),WH-D,In Stock,2025-04-14
INV001577,MED000036,SUP0048,BAT780228,2025-06-13,2027-07-03,992,517.89,630.3,105,Room Temperature,WH-E,In Stock,2025-06-29
INV001749,MED000036,SUP0036,BAT416778,2024-11-15,2026-11-05,83,513.84,675.58,171,Room Temperature,WH-D,Low Stock,2025-05-14
INV003121,MED000036,SUP0024,BAT818958,2024-07-31,2025-11-23,577,227.84,288.77,138,Room Temperature,WH-D,In Stock,2024-08-30
INV000371,MED000037,SUP0001,BAT757128,2024-12-11,2026-07-04,319,66.11,85.99,58,Refrigerated (2–8°C),WH-B,In Stock,2025-03-24
INV000752,MED000037,SUP0001,BAT514118,2024-03-15,2025-03-10,671,278.8,357.15,147,Frozen (-20°C),WH-E,In Stock,2024-05-12
INV000872,MED000037,SUP0075,BAT570717,2025-09-11,2027-12-30,759,304.53,408.35,84,Room Temperature,WH-B,In Stock,2026-03-08
INV004426,MED000037,SUP0013,BAT539782,2025-07-10,2026-10-03,617,191.63,248.42,172,Refrigerated (2–8°C),WH-D,In Stock,2025-10-13
INV004458,MED000037,SUP0069,BAT267122,2026-07-20,2027-12-12,770,188.61,249.31,128,Room Temperature,WH-B,In Stock,2026-07-20
INV004453,MED000038,SUP0066,BAT802054,2026-04-19,2028-09-05,318,274.13,359.83,145,Frozen (-20°C),WH-E,In Stock,2026-07-20
INV001242,MED000039,SUP0054,BAT789137,2024-04-11,2025-12-02,473,475.2,630.58,178,Room Temperature,WH-B,In Stock,2024-07-03
INV002268,MED000039,SUP0030,BAT744374,2023-12-21,2025-01-14,588,151.14,204.43,81,Frozen (-20°C),WH-E,In Stock,2024-01-26
INV000527,MED000040,SUP0038,BAT780956,2025-09-19,2027-04-12,520,542.8,703.97,50,Frozen (-20°C),WH-E,In Stock,2026-01-09
INV000473,MED000041,SUP0053,BAT227126,2025-07-09,2028-03-25,203,347.66,462.33,172,Room Temperature,WH-C,In Stock,2025-12-26
INV000881,MED000041,SUP0049,BAT548158,2024-01-07,2026-12-22,609,95.92,129.04,162,Refrigerated (2–8°C),WH-D,In Stock,2024-04-07
INV002659,MED000041,SUP0018,BAT951848,2025-01-06,2026-05-31,666,87.64,117.47,133,Frozen (-20°C),WH-D,In Stock,2025-04-29
INV003140,MED000041,SUP0067,BAT561365,2023-07-26,2026-05-11,482,416.82,565.16,25,Frozen (-20°C),WH-D,In Stock,2023-09-09
INV004266,MED000041,SUP0001,BAT702336,2025-04-14,2027-04-04,871,156.77,200.83,164,Frozen (-20°C),WH-B,In Stock,2025-07-24
INV004634,MED000041,SUP0012,BAT678196,2025-01-19,2026-09-11,458,578.08,703.4,125,Frozen (-20°C),WH-B,In Stock,2025-04-26
INV001176,MED000042,SUP0002,BAT878727,2024-05-26,2025-08-19,811,120.6,159.33,125,Refrigerated (2–8°C),WH-C,In Stock,2024-11-07
INV001484,MED000043,SUP0068,BAT827514,2025-08-13,2028-03-30,108,286.83,360.2,132,Frozen (-20°C),WH-D,Low Stock,2026-01-14
INV002634,MED000043,SUP0070,BAT510122,2023-10-30,2024-12-23,682,475.0,600.36,121,Frozen (-20°C),WH-A,In Stock,2024-01-30
INV000873,MED000044,SUP0016,BAT423851,2024-11-16,2027-10-02,775,373.76,452.99,87,Refrigerated (2–8°C),WH-D,In Stock,2025-03-20
INV000512,MED000045,SUP0036,BAT680557,2026-06-02,2028-10-19,948,97.06,117.2,171,Refrigerated (2–8°C),WH-B,In Stock,2026-07-20
INV002389,MED000045,SUP0074,BAT198483,2024-12-16,2027-10-02,66,372.02,463.38,133,Room Temperature,WH-E,Low Stock,2024-12-31
INV004411,MED000045,SUP0005,BAT725409,2026-01-11,2028-05-30,298,370.1,456.34,69,Frozen (-20°C),WH-B,In Stock,2026-04-10
INV000437,MED000046,SUP0032,BAT145240,2024-04-07,2026-09-24,164,379.58,458.47,59,Frozen (-20°C),WH-B,In Stock,2024-09-20
INV001939,MED000046,SUP0069,BAT831634,2023-08-06,2026-01-22,947,550.65,694.52,183,Room Temperature,WH-C,In Stock,2023-11-14
INV003607,MED000046,SUP0037,BAT996609,2026-07-05,2027-09-28,951,119.03,145.06,199,Refrigerated (2–8°C),WH-C,In Stock,2026-07-20
INV003823,MED000046,SUP0051,BAT929007,2024-12-05,2026-05-29,906,50.36,65.74,129,Refrigerated (2–8°C),WH-E,In Stock,2025-02-25
INV004014,MED000046,SUP0018,BAT767283,2023-12-21,2025-05-14,927,577.86,789.29,135,Refrigerated (2–8°C),WH-B,In Stock,2024-03-19
INV000569,MED000047,SUP0074,BAT895338,2025-04-20,2027-12-06,328,119.56,150.09,76,Refrigerated (2–8°C),WH-D,In Stock,2025-06-27
INV000660,MED000047,SUP0011,BAT664566,2026-01-18,2028-10-04,999,239.68,311.13,156,Frozen (-20°C),WH-E,In Stock,2026-02-24
INV002193,MED000047,SUP0061,BAT274554,2026-07-07,2029-03-23,535,285.65,387.31,25,Frozen (-20°C),WH-A,In Stock,2026-07-20
INV002536,MED000047,SUP0006,BAT187035,2025-03-14,2027-10-30,113,8.03,10.95,81,Frozen (-20°C),WH-D,In Stock,2025-06-07
INV002813,MED000047,SUP0054,BAT209724,2025-09-11,2028-04-28,706,60.5,73.31,182,Frozen (-20°C),WH-E,In Stock,2026-01-01
INV001447,MED000049,SUP0054,BAT676749,2023-12-07,2024-12-31,603,129.26,170.18,34,Room Temperature,WH-C,In Stock,2024-02-11
INV002545,MED000049,SUP0039,BAT207297,2025-03-01,2027-12-16,248,50.93,64.51,102,Room Temperature,WH-E,In Stock,2025-06-08
INV001486,MED000050,SUP0021,BAT190573,2024-08-06,2027-04-23,456,597.93,762.16,193,Refrigerated (2–8°C),WH-D,In Stock,2024-10-10
INV002296,MED000050,SUP0041,BAT937623,2025-05-11,2026-05-06,309,87.14,119.01,171,Frozen (-20°C),WH-D,In Stock,2025-11-05
INV002576,MED000050,SUP0050,BAT759763,2026-03-25,2028-11-09,209,151.41,186.27,110,Frozen (-20°C),WH-D,In Stock,2026-07-20
INV003734,MED000050,SUP0007,BAT559592,2026-05-21,2027-09-13,310,261.41,334.19,127,Frozen (-20°C),WH-C,In Stock,2026-07-20
INV003126,MED000051,SUP0062,BAT189170,2024-06-11,2025-11-03,43,539.14,660.55,39,Room Temperature,WH-E,In Stock,2024-10-10
INV003670,MED000051,SUP0064,BAT385585,2025-08-31,2026-11-24,806,152.27,196.28,86,Room Temperature,WH-C,In Stock,2025-11-25
INV001199,MED000052,SUP0047,BAT996922,2026-03-01,2029-02-13,745,132.2,173.44,133,Room Temperature,WH-D,In Stock,2026-06-12
INV001951,MED000052,SUP0020,BAT607348,2024-07-19,2027-06-04,67,115.85,149.75,104,Room Temperature,WH-A,Low Stock,2024-09-04
INV002137,MED000052,SUP0033,BAT431573,2025-02-12,2027-12-29,811,599.28,732.44,53,Room Temperature,WH-E,In Stock,2025-06-11
INV001302,MED000053,SUP0057,BAT880080,2024-09-20,2026-09-10,457,242.51,300.99,137,Refrigerated (2–8°C),WH-E,In Stock,2024-10-17
INV001627,MED000053,SUP0020,BAT470500,2025-04-21,2027-04-11,813,389.14,525.54,154,Refrigerated (2–8°C),WH-B,In Stock,2025-06-04
INV002385,MED000053,SUP0047,BAT553495,2026-04-17,2027-11-08,194,415.67,548.99,61,Refrigerated (2–8°C),WH-B,In Stock,2026-06-26
INV004499,MED000053,SUP0032,BAT917844,2025-11-14,2028-03-03,519,203.55,266.99,191,Frozen (-20°C),WH-C,In Stock,2025-12-06
INV000170,MED000054,SUP0024,BAT623285,2026-06-15,2028-06-04,120,466.1,624.95,92,Room Temperature,WH-E,In Stock,2026-07-20
INV001704,MED000054,SUP0058,BAT388253,2025-09-07,2028-08-22,986,42.77,56.69,182,Refrigerated (2–8°C),WH-D,In Stock,2025-10-11
INV002563,MED000055,SUP0039,BAT191239,2025-11-01,2027-12-21,949,543.58,691.34,70,Room Temperature,WH-E,In Stock,2026-04-03
INV003024,MED000055,SUP0069,BAT731830,2025-10-29,2028-06-15,302,473.15,583.46,129,Room Temperature,WH-D,In Stock,2026-02-06
INV000596,MED000056,SUP0037,BAT608307,2024-01-05,2025-04-29,78,154.97,205.05,96,Refrigerated (2–8°C),WH-C,Low Stock,2024-05-28
INV004626,MED000056,SUP0033,BAT521947,2025-10-10,2027-08-31,580,274.24,371.75,149,Room Temperature,WH-D,In Stock,2026-01-03
INV004785,MED000056,SUP0013,BAT299943,2024-04-11,2026-05-31,960,106.92,142.4,179,Room Temperature,WH-C,In Stock,2024-09-07
INV004842,MED000056,SUP0073,BAT289298,2026-03-24,2028-03-13,221,17.28,22.56,130,Room Temperature,WH-B,In Stock,2026-07-20
INV002944,MED000057,SUP0017,BAT467418,2023-12-18,2026-06-05,47,509.79,627.52,55,Frozen (-20°C),WH-C,Low Stock,2024-02-04
INV003079,MED000057,SUP0013,BAT445188,2024-01-31,2026-04-20,306,350.16,449.11,61,Frozen (-20°C),WH-B,In Stock,2024-05-29
INV003647,MED000057,SUP0072,BAT787036,2026-03-25,2027-05-19,966,315.86,432.43,56,Refrigerated (2–8°C),WH-C,In Stock,2026-05-19
INV004998,MED000057,SUP0044,BAT648416,2025-12-18,2027-11-08,82,408.85,507.94,94,Room Temperature,WH-B,Low Stock,2026-03-02
INV000154,MED000058,SUP0041,BAT203896,2025-06-06,2026-09-29,39,550.85,713.07,98,Room Temperature,WH-D,Low Stock,2025-07-26
INV000777,MED000058,SUP0070,BAT721285,2024-12-31,2026-07-24,743,592.24,723.77,133,Room Temperature,WH-C,In Stock,2025-04-02
INV000816,MED000058,SUP0062,BAT552931,2023-09-08,2026-02-24,957,505.1,631.09,110,Refrigerated (2–8°C),WH-B,In Stock,2024-03-01
INV001266,MED000058,SUP0028,BAT711561,2025-04-01,2026-07-25,12,221.68,288.56,91,Frozen (-20°C),WH-D,Low Stock,2025-09-12
INV002443,MED000058,SUP0043,BAT874087,2024-01-17,2026-06-05,102,557.4,741.01,64,Frozen (-20°C),WH-E,In Stock,2024-06-19
INV003501,MED000058,SUP0067,BAT731408,2024-12-29,2027-11-14,44,213.48,286.81,123,Frozen (-20°C),WH-C,Low Stock,2025-03-30
INV000740,MED000060,SUP0011,BAT582589,2026-03-29,2028-05-17,978,358.55,430.68,93,Room Temperature,WH-E,In Stock,2026-07-20
INV001438,MED000060,SUP0054,BAT182533,2025-08-13,2027-10-02,457,232.3,286.05,185,Refrigerated (2–8°C),WH-C,In Stock,2025-10-04
INV003120,MED000060,SUP0067,BAT286586,2024-12-02,2026-11-22,386,589.92,806.44,194,Refrigerated (2–8°C),WH-E,In Stock,2025-05-10
INV003192,MED000060,SUP0002,BAT791258,2025-12-03,2027-04-27,693,160.75,202.96,182,Frozen (-20°C),WH-C,In Stock,2026-02-17
INV004663,MED000060,SUP0063,BAT828109,2024-10-13,2026-09-03,453,255.08,312.99,112,Frozen (-20°C),WH-A,In Stock,2024-12-13
INV000894,MED000061,SUP0075,BAT346184,2026-03-25,2028-06-12,9,163.32,227.19,40,Frozen (-20°C),WH-E,Low Stock,2026-05-04
INV003955,MED000061,SUP0026,BAT844515,2024-12-26,2026-11-16,540,534.35,714.73,198,Frozen (-20°C),WH-D,In Stock,2025-04-20
INV004886,MED000061,SUP0011,BAT616529,2024-12-24,2027-12-09,609,187.41,258.56,121,Room Temperature,WH-A,In Stock,2025-01-30
INV003076,MED000062,SUP0015,BAT535728,2025-10-09,2027-05-02,432,369.27,504.88,134,Refrigerated (2–8°C),WH-C,In Stock,2025-11-24
INV003066,MED000063,SUP0002,BAT669419,2023-10-16,2025-09-05,979,24.08,33.46,88,Frozen (-20°C),WH-B,In Stock,2024-02-09
INV004918,MED000063,SUP0052,BAT303410,2024-04-16,2026-05-06,779,340.9,452.29,74,Refrigerated (2–8°C),WH-A,In Stock,2024-08-23
INV003668,MED000064,SUP0026,BAT381718,2023-12-17,2025-07-09,415,394.27,482.98,111,Frozen (-20°C),WH-C,In Stock,2024-06-12
INV003747,MED000064,SUP0001,BAT757649,2024-05-29,2025-12-20,101,95.38,115.85,118,Room Temperature,WH-B,Low Stock,2024-11-08
INV000194,MED000065,SUP0074,BAT834549,2024-03-02,2025-08-24,451,254.17,326.0,105,Room Temperature,WH-D,In Stock,2024-03-21
INV001215,MED000065,SUP0015,BAT642145,2024-08-05,2026-10-24,478,197.18,258.85,175,Frozen (-20°C),WH-E,In Stock,2024-09-24
INV002702,MED000065,SUP0071,BAT876189,2024-08-27,2027-05-14,902,235.11,287.85,197,Frozen (-20°C),WH-D,In Stock,2024-09-30
INV004361,MED000065,SUP0070,BAT712011,2025-05-05,2026-07-29,390,474.92,658.15,84,Room Temperature,WH-E,In Stock,2025-08-03
INV002787,MED000066,SUP0002,BAT138607,2025-01-03,2027-02-22,875,443.43,538.34,171,Frozen (-20°C),WH-B,In Stock,2025-01-25
INV001112,MED000067,SUP0044,BAT541875,2025-01-05,2026-06-29,909,87.88,115.07,40,Frozen (-20°C),WH-C,In Stock,2025-04-15
INV001140,MED000067,SUP0020,BAT499601,2023-12-28,2025-02-20,578,598.7,793.92,153,Frozen (-20°C),WH-D,In Stock,2024-03-09
INV001766,MED000067,SUP0032,BAT161496,2024-04-01,2025-03-27,371,574.17,753.82,128,Frozen (-20°C),WH-D,In Stock,2024-09-20
INV002189,MED000067,SUP0002,BAT320050,2025-03-21,2027-06-09,246,451.38,586.47,52,Room Temperature,WH-E,In Stock,2025-05-04
