Medicine_ID,Product_NDC,Generic_Name,Brand_Name,Manufacturer,Active_Ingredient,Strength,Dosage_Form,Route,Pharm_Class,Category_ID,Category_Name
MED000260,72516-028,Metoprolol Succinate,Metoprolol Succinate,Oryza Pharmaceuticals Inc.,METOPROLOL SUCCINATE,200 mg/1,"TABLET, EXTENDED RELEASE",ORAL,Adrenergic beta-Antagonists [MoA],CAT003,Diabetes
MED000320,0527-1927,Methadone Hydrochloride,"Methadone Hydrocloride Dye-Free, Sugar-Free, Unflavored","Lannett Company, Inc.",METHADONE HYDROCHLORIDE,10 mg/mL,CONCENTRATE,ORAL,Full Opioid Agonists [MoA],CAT004,Pain Management
MED000326,72622-001,Sulfur,Clinicians Complex,"Skinsx.Com, Inc.",SULFUR,100 mg/g,LOTION,TOPICAL,UNKNOWN,CAT015,Others
MED000356,72782-103,"Octisalate, Homosalate, Zinc Oxide",Skin On Skin Bc Foundation Spf 40 - Fair Cool,"Yensa Beauty, Llc",HOMOSALATE,7 g/100mL,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED000359,72789-029,Losartan Potassium,Losartan Potassium,"Pd-Rx Pharmaceuticals, Inc.",LOSARTAN POTASSIUM,25 mg/1,"TABLET, FILM COATED",ORAL,Angiotensin 2 Receptor Antagonists [MoA],CAT003,Diabetes
MED000404,72789-499,Methocarbamol,"Methocarbamol Tablets, Usp, 500 Mg","Pd-Rx Pharmaceuticals, Inc.",METHOCARBAMOL,500 mg/1,"TABLET, FILM COATED",ORAL,Centrally-mediated Muscle Relaxation [PE],CAT005,Neurology
MED000446,72854-240,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride, And Triprolidine Hydrochloride",Mucinex Nightshift Sinus Maximum Strength,Reckitt Benckiser Llc,ACETAMINOPHEN,325 mg/1,"TABLET, COATED",ORAL,Adrenergic alpha1-Agonists [MoA],CAT003,Diabetes
MED000447,72854-268,Hexylresorcinol And Menthol,Mucinex Instasoothe Sore Throat Plus Cough Sugar Free,Reckitt Benckiser Llc,HEXYLRESORCINOL,2 mg/1,LOZENGE,ORAL,UNKNOWN,CAT015,Others
MED000464,72865-201,Hydrocodone Bitartrate And Acetaminophen,Hydrocodone Bitartrate And Acetaminophen,"Xlcare Pharmaceuticals, Inc.",ACETAMINOPHEN,325 mg/1,TABLET,ORAL,Opioid Agonist [EPC],CAT004,Pain Management
MED000465,72865-229,Pantoprazole,Pantoprazole Sodium,Xlcare Pharmaceuticals Inc.,PANTOPRAZOLE SODIUM,20 mg/1,"TABLET, DELAYED RELEASE",ORAL,Proton Pump Inhibitor [EPC],CAT007,Gastrointestinal
MED000487,72888-123,Guanfacine,Guanfacine,Advagen Pharma Ltd,GUANFACINE HYDROCHLORIDE,1 mg/1,TABLET,ORAL,Adrenergic alpha2-Agonists [MoA],CAT003,Diabetes
MED000501,72919-420,Niacin,Niacin,"Emerald Therapeutics, Llc",NIACIN,500 mg/1,TABLET,ORAL,Nicotinic Acid [EPC],CAT013,Vaccines & Biologics
MED000534,73096-743,Camphor And Menthol,Cbdmedic Arthritis Aches And Pain Relief,"Abacus Health Products, Inc.",CAMPHOR (NATURAL),100 mg/g,OINTMENT,TOPICAL,UNKNOWN,CAT015,Others
MED000545,73190-087,Roflumilast,Roflumilast,Avkare,ROFLUMILAST,500 ug/1,TABLET,ORAL,Phosphodiesterase 4 Inhibitor [EPC],CAT003,Diabetes
MED000551,73287-022,Trolamine Salicylate,Hempvana Maximum Strength Pain Relief,Telebrands Corp,TROLAMINE SALICYLATE,10 g/100g,LOTION,TOPICAL,UNKNOWN,CAT015,Others
MED000559,73306-1143,Antiperspirant Above Dermaclinical Women,Antiperspirant Above Dermaclinical Women,Baston Industria De Aerossois Ltda,ALUMINUM SESQUICHLOROHYDRATE,16 g/100g,"AEROSOL, SPRAY",TOPICAL,UNKNOWN,CAT015,Others
MED000567,73352-835,Lidocaine,Tridacaine Iii,Trifluent Pharma Llc,LIDOCAINE,50 mg/g,PATCH,TOPICAL,Amide Local Anesthetic [EPC],CAT004,Pain Management
MED000570,73362-201,Navepegritide,Yuviwel,"Ascendis Pharma Endocrinology, Inc.",UNKNOWN,UNKNOWN,KIT,UNKNOWN,UNKNOWN,CAT015,Others
MED000605,73581-010,Fexofenadine Hcl,Fexofenadine Hcl,Yyba Corp,FEXOFENADINE HYDROCHLORIDE,60 mg/1,TABLET,ORAL,Histamine H1 Receptor Antagonists [MoA],CAT006,Respiratory
MED000613,73590-0078,Adenosine,The Skinhouse Real Snail Wrinkle Free,"Noksibcho Cosmetic Co., Ltd.",ADENOSINE,.01 g/30mL,CREAM,TOPICAL,Adenosine Receptor Agonist [EPC],CAT003,Diabetes
MED000626,73647-004,Menthol,Just Cbd Roll-On Cooling,Just Brands Llc,MENTHOL,4 g/100mL,GEL,TOPICAL,UNKNOWN,CAT015,Others
MED000787,76282-250,Escitalopram,Escitalopram Oxalate,Exelan Pharmaceuticals Inc.,ESCITALOPRAM OXALATE,10 mg/1,"TABLET, FILM COATED",ORAL,Serotonin Reuptake Inhibitor [EPC],CAT005,Neurology
MED000805,76282-816,Tofacitinib,Tofacitinib,"Exelan Pharmaceuticals,Inc",TOFACITINIB CITRATE,11 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,Janus Kinase Inhibitor [EPC],CAT012,Ophthalmology
MED000823,76354-155,"Homosalate, Octisalate, Octocrylene, Zinc Oxide",E.L.F. Hydrating Camo Cc Cream Spf30 Tan 400 W,"E.L.F. Cosmetics, Inc.",HOMOSALATE,50 mg/g,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED000837,76354-513,"Zinc Oxide, Titanium Dioxide, Homosalate, Octisalate, Octocrylene",E L F Camo Semi Matte Cc Spf 30 Light 210 N,"E.L.F. Cosmetics, Inc.",HOMOSALATE,50 mg/g,CREAM,TOPICAL,Copper Absorption Inhibitor [EPC],CAT007,Gastrointestinal
MED000872,76420-208,Silver Sulfadiazine,Silver Sulfadiazine,"Asclemed Usa, Inc.",SILVER SULFADIAZINE,10 g/1000g,CREAM,TOPICAL,Sulfonamide Antibacterial [EPC],CAT001,Antibiotics
MED000884,0591-0397,Diclofenac Sodium And Misoprostol,Diclofenac Sodium And Misoprostol,"Actavis Pharma, Inc.",DICLOFENAC SODIUM,50 mg/1,"TABLET, DELAYED RELEASE",ORAL,Anti-Inflammatory Agents,CAT004,Pain Management
MED000911,76420-836,Gabapentin,Gabapentin,"Asclemed Usa, Inc.",GABAPENTIN,600 mg/1,TABLET,ORAL,Decreased Central Nervous System Disorganized Electrical Activity [PE],CAT005,Neurology
MED000936,76472-4078,Cuprum Metallicum,Cuprum Metallicum 200Ck,Sevene Usa,COPPER,30 [hp_C]/1,PELLET,SUBLINGUAL,Copper [CS],CAT013,Vaccines & Biologics
MED000978,78206-143,Rizatriptan Benzoate,Maxalt-Mlt,Organon Llc,RIZATRIPTAN BENZOATE,10 mg/1,"TABLET, ORALLY DISINTEGRATING",ORAL,Serotonin 1b Receptor Agonists [MoA],CAT005,Neurology
MED001001,79481-0118,Benzocaine,Oral Anesthetic Liquid,"Meijer, Inc.",BENZOCAINE,20 g/100g,LIQUID,ORAL,Allergens [CS],CAT006,Respiratory
MED001025,79481-5072,"Acetaminophen, Guaifenesin, Phenylephrine Hcl","Pressure, Pain And Mucus","Meijer Distribution, Inc.",ACETAMINOPHEN,325 mg/1,"TABLET, FILM COATED",ORAL,Adrenergic alpha1-Agonists [MoA],CAT003,Diabetes
MED001027,79539-002,Isopropanol And Compound Double-Stranded Quaternary Ammonium Salts,Instant Hand Sanitizeing Wipe,"Shandong Yayun Sanitary Products Co., Ltd.",PROPYLENE GLYCOL,1.2 g/1,CLOTH,TOPICAL,UNKNOWN,CAT015,Others
MED001030,79739-7076,Nabumetone,Nabumetone 500 Mg,"Lgm Pharma Solutions, Llc",NABUMETONE,500 mg/1,"TABLET, FILM COATED",ORAL,Anti-Inflammatory Agents,CAT004,Pain Management
MED001036,79753-046,Titanium Dioxide,Coola Rosilliance Mineral Tinted Face Moisturizer Spf 30 Fresh Rose,"Coola, Llc",TITANIUM DIOXIDE,5.6 g/100mL,LOTION,TOPICAL,UNKNOWN,CAT015,Others
MED001037,79753-073,Avobenzone Homosalate Octisalate Octocrylene,Coola Classic Face Sunscreen Cucumber Broad Spectrum Spf 30,Coola Llc,AVOBENZONE,1.75 g/100mL,LOTION,TOPICAL,UNKNOWN,CAT015,Others
MED001074,80005-139,Letrozole,Letrozole,Carnegie Pharmaceuticals Llc,LETROZOLE,2.5 mg/1,"TABLET, FILM COATED",ORAL,Aromatase Inhibitor [EPC],CAT009,Oncology
MED001089,80425-0138,Methocarbamol,Methocarbamol,"Advanced Rx Pharmacy Of Tennessee, Llc",METHOCARBAMOL,500 mg/1,"TABLET, FILM COATED",ORAL,Centrally-mediated Muscle Relaxation [PE],CAT005,Neurology
MED001110,80425-0370,Zonisamide,Zonisamide,"Advanced Rx Of Tennessee, Llc",ZONISAMIDE,100 mg/1,CAPSULE,ORAL,Anti-epileptic Agent [EPC],CAT005,Neurology
MED001142,80513-421,Meclizine Hydrochloride,Meclizine,Advanced Rx Llc,MECLIZINE HYDROCHLORIDE,25 mg/1,"TABLET, CHEWABLE",ORAL,Antiemetic [EPC],CAT007,Gastrointestinal
MED001232,81734-001,Oxygen,Oxygen,Cryogenic Solutions Llc,OXYGEN,995 mL/L,GAS,RESPIRATORY (INHALATION),UNKNOWN,CAT015,Others
MED001245,0615-8270,Fenofibrate,Fenofibrate,"Ncs Healthcare Of Ky, Inc Dba Vangard Labs",FENOFIBRATE,160 mg/1,TABLET,ORAL,Peroxisome Proliferator Receptor alpha Agonist [EPC],CAT003,Diabetes
MED001306,82214-003,Sodium Fluoride,Moon Charcoal Whitening Anticavity,"Moon Oral Care, Llc",SODIUM FLUORIDE,.24 g/100g,PASTE,TOPICAL,UNKNOWN,CAT015,Others
MED001336,82442-490,Nicotine Polacrilex,Up And Up Nicotine,Target Corporation,NICOTINE,2 mg/1,LOZENGE,ORAL,Cholinergic Nicotinic Agonist [EPC],CAT005,Neurology
MED001371,82645-400,Pramoxine Hydrochloride And Zinc Acetate Lotion,Calamine Clear,"Pharma Nobis, Llc",PRAMOXINE HYDROCHLORIDE,10 mg/mL,LOTION,TOPICAL,Copper Absorption Inhibitor [EPC],CAT007,Gastrointestinal
MED001413,82804-055,Moxifloxacin,Moxifloxacin,Proficient Rx Lp,MOXIFLOXACIN HYDROCHLORIDE,5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,Fluoroquinolone Antibacterial [EPC],CAT001,Antibiotics
MED001430,82804-264,Doxycycline,Doxycycline,Proficient Rx Lp,DOXYCYCLINE,100 mg/1,TABLET,ORAL,Tetracycline-class Drug [EPC],CAT001,Antibiotics
MED001455,82868-106,Valacyclovir,Valacyclovir Hydrochloride,"Northwind Health Company, Llc",VALACYCLOVIR HYDROCHLORIDE,1 g/1,"TABLET, FILM COATED",ORAL,DNA Polymerase Inhibitors [MoA],CAT012,Ophthalmology
MED001458,82876-985,Allantoin,Earthmed Sport Massage Oil,Earthmed Llc,ALLANTOIN,1 g/108.48g,OIL,TOPICAL,UNKNOWN,CAT015,Others
MED001473,82969-1048,Natrum Phosphoricum,Bestmade Natural Products Nat Phos 8X,Bestmade Natural Products,"SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",8 [hp_X]/8[hp_X],LIQUID,ORAL,UNKNOWN,CAT015,Others
MED001474,0069-0187,Palbociclib,Ibrance,Pfizer Laboratories Div Pfizer Inc,PALBOCICLIB,75 mg/1,CAPSULE,ORAL,Cytochrome P450 3A Inhibitors [MoA],CAT014,Vitamins & Supplements
MED001504,82969-2400,"Agraphis Nutans, Castoreum, Formica Rufa, Lemna Minor, Sanguinaria Nitricum, Sticta Pul, Teucrium Marum, Thuja",Bm100,Total Operations Management Llc Dba:Bestmade Natural Products Micro,CASTOR CANADENSIS SCENT GLAND SECRETION,40 [hp_C]/mL,LIQUID,ORAL,UNKNOWN,CAT015,Others
MED001510,82969-4001,"Hyoscyamus, Tuberculinum, Arsen Lod, Verta Alb",Bestmade Natural Products Focused And Relaxed,Bestmade Natural Products,ARSENIC TRIIODIDE,30 [hp_C]/30[hp_C],LIQUID,ORAL,Antigens,CAT010,Allergy
MED001517,0641-6000,Lorazepam,Ativan,Hikma Pharmaceuticals Usa Inc.,LORAZEPAM,2 mg/mL,INJECTION,INTRAMUSCULAR,Benzodiazepine [EPC],CAT005,Neurology
MED001582,83033-1620,"Menthol, Camphor",Rayo Breath Chamomile,Quimicas Handal De Centroamerica Sa De Cv,CAMPHOR (SYNTHETIC),1 g/g,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED001623,83270-004,Thiamine Hydrochloride,Thiamine Hydrochloride,Onesource Specialty Pharma Limited,THIAMINE HYDROCHLORIDE,100 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR,UNKNOWN,CAT015,Others
MED001626,83270-311,Ampicillin,Ampicillin,Onesource Specialty Pharma Limited,AMPICILLIN SODIUM,250 mg/1,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR,Penicillin-class Antibacterial [EPC],CAT001,Antibiotics
MED001690,83557-001,Sodium Chloride,Burble,"Lets Burble, Inc.",CALCIUM BICARBONATE,65 mg/1,"TABLET, FOR SOLUTION",NASAL,Alkalinizing Activity [MoA],CAT014,Vitamins & Supplements
MED001704,83629-017,Isopropyl Alcohol,Nexxgen 70% Rubbing Alcohol With Wintergreen,A & A Nexxgen Llc,ISOPROPYL ALCOHOL,70 mL/100mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED001721,0703-3218,Paclitaxel,Paclitaxel,"Teva Parenteral Medicines, Inc.",PACLITAXEL,6 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,Microtubule Inhibition [PE],CAT012,Ophthalmology
MED001726,83698-011,Calcium Carbonate,Ultra Strength Antacid Tropical Fruit Flavor,"Xiamen Kang Zhongyuan Biotechnology Co., Ltd.",CALCIUM CARBONATE,1000 mg/1,"TABLET, CHEWABLE",ORAL,Blood Coagulation Factor [EPC],CAT003,Diabetes
MED001742,83739-001,Joint Health Capsules,Joint Health,Xian Chiang Company Limited,AMINO ACIDS,2 g/1001,CAPSULE,ORAL,Allergens [CS],CAT006,Respiratory
MED001813,84126-184,Selenium Sulfide,Head And Shoulders 2In1 Clinical Strength Cooling Itch Relief,The Procter & Gamble Manufacturing Company,SELENIUM SULFIDE,1 g/100mL,LOTION/SHAMPOO,TOPICAL,UNKNOWN,CAT015,Others
MED001814,84126-186,Aluminum Sesquichlorohydrate,Secret Clinical Dry Stress Response,The Procter & Gamble Manufacturing Company,ALUMINUM SESQUICHLOROHYDRATE,24.7 g/100g,"AEROSOL, SPRAY",TOPICAL,UNKNOWN,CAT015,Others
MED001842,84126-612,Stannous Fluoride,Kids Crest Advanced Sugar And Bacteria Shield,The Procter & Gamble Manufacturing Company,STANNOUS FLUORIDE,1.5 mg/g,"PASTE, DENTIFRICE",DENTAL,UNKNOWN,CAT015,Others
MED001853,84130-019,"Octisalate, Octocrylene, Zinc Oxide",Sun Veil Illuminatingelixir Face Sunscreen Spf 38,Koco Life Llc,OCTISALATE,50 mg/mL,LOTION,TOPICAL,UNKNOWN,CAT015,Others
MED001865,84181-357,Sodium Fluoride,Dr. Jen Superpaste Nano-Hydroxyapatite,"Dr Jen Natural, Llc",SODIUM FLUORIDE,.22 g/100mL,"PASTE, DENTIFRICE",ORAL,UNKNOWN,CAT015,Others
MED001867,84185-302,Sodium Fluoride,Willo Minty Mist Dye Free,"Willo 32, Inc.",SODIUM FLUORIDE,1 mg/mL,"PASTE, DENTIFRICE",DENTAL,UNKNOWN,CAT015,Others
MED001934,0781-3001,Somatropin,Omnitrope,Sandoz Inc,SOMATROPIN,5 mg/1.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,Human Growth Hormone [CS],CAT009,Oncology
MED001936,84549-300,Ciprofloxacin,Ciprofloxacin In Dextrose,Propharma Distribution,CIPROFLOXACIN,400 mg/200mL,"INJECTION, SOLUTION",INTRAVENOUS,Cytochrome P450 1A2 Inhibitors [MoA],CAT014,Vitamins & Supplements
MED001950,84603-170,"Avobenzone, Octinoxate, Octisalate, Oxybenzone",Basin Vanilla Spf 30 Lip Balm Spf 30,"Retail Concepts Of Minnesota, Inc.",AVOBENZONE,3 g/100g,STICK,TOPICAL,UNKNOWN,CAT015,Others
MED001973,84746-007,Liquid Wart Corn Removal Mask,Pureskin Liquid Wart Corn Removal Mask,"Shandong Yuyaotang Pharmaceutical Co., Ltd",SALICYLIC ACID,15 g/100mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED001988,84896-008,Undecylenic Acid,Antifungal Pen,"Guangzhou Mizi Biotechnology Co., Ltd.",UNDECYLENIC ACID,25 g/100mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED002015,85064-004,Titanium Dioxide,Eelhoe Sun Cream,"Shantou Eelhoe Daily Chemical Technology Co., Ltd.",CENTELLA ASIATICA TRITERPENOIDS,.004 mg/40mg,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED002017,85064-032,Glycerin,Eelhoe Sleep Aid Patch,"Shantou Eelhoe Daily Chemical Technology Co., Ltd.",CITRUS LIMON (LEMON) FRUIT OIL,.0096 mg/48mg,PATCH,TOPICAL,UNKNOWN,CAT015,Others
MED002039,85163-008,Titanium Dioxide,Ouhoe Protection Sunscreen,"Shantou Ouhoe Technology Co., Ltd.",CENTELLA ASIATICA,.15 mg/50mg,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED002058,85236-111,Hand Moisturizing Sanitizer,Caring Hands,Gleeco Labs Llc,BENZALKONIUM CHLORIDE,.125 mg/100mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED002074,85248-184,Undecylenic Acid 25% Fungal Nail Renewal,Werpeka Fungal Nail Renewal,"Jiangxi Yudexi Pharmaceutical Co., Ltd",UNDECYLENIC ACID,25 g/100mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED002110,85362-208,Zinc Oxide,Tinted Daily Replenishing Protection,"Goldberg, Howard S Md Inc",ZINC OXIDE,160 mg/g,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED002124,85398-021,1% Clotrimazole,Hermon Antifungal Stick,Beautivity Llc,CLOTRIMAZOLE,.4 g/40g,STICK,TOPICAL,Azole Antifungal [EPC],CAT001,Antibiotics
MED002143,85431-202,"Titanium Dioxide, Zinc Oxide",Mineral Sunscreen Dry Touch Nt,Cutis Wellness Dermatology And Dermatopathology Pllc,TITANIUM DIOXIDE,80 mg/g,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED002160,85479-205,Zinc Oxide,Daily Skin Protection Sunscreen Nt,Skinplusbyoroyo Llc,ZINC OXIDE,200 mg/g,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED002187,85525-002,Body Acne Treatment,The Nueyou,Brand Reach Collective Llc,SALICYLIC ACID,20 mg/mL,CREAM,CUTANEOUS,UNKNOWN,CAT015,Others
MED002230,85636-028,Ibealee Nail Repair Pen,Ibealee Nail Repair Pen,"Shenzhen Earth Surface Trading Co., Ltd.",UNDECYLENIC ACID,25 mg/100mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED002237,85707-203,"Titanium Dioxide, Zinc Oxide",Tinted Facial Primer,Bee Naturals,TITANIUM DIOXIDE,80 mg/g,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED002272,85766-221,Famotidine,Famotidine,Sportpharm Llc,FAMOTIDINE,20 mg/1,"TABLET, FILM COATED",ORAL,Histamine H2 Receptor Antagonists [MoA],CAT006,Respiratory
MED002281,85805-205,Zinc Oxide,Non-Tinted Mineral Sunscreen,Olga Klimov Inc,ZINC OXIDE,200 mg/g,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED002285,85816-1006,Kali Phosphoricum,Bm Kali Phos,Bm Private Limited,"POTASSIUM PHOSPHATE, DIBASIC",6 [hp_X]/60mg,TABLET,ORAL,UNKNOWN,CAT015,Others
MED002286,0069-0830,Sunitinib Malate,Sutent,Pfizer Laboratories Div Pfizer Inc,SUNITINIB MALATE,37.5 mg/1,CAPSULE,ORAL,Kinase Inhibitor [EPC],CAT012,Ophthalmology
MED002289,85816-1034,Lithium Chloride,Bm Lithium Chloride (Lith Mur),Bm Private Limited,LITHIUM CHLORIDE,6 [hp_X]/60mg,TABLET,ORAL,Mood Stabilizer [EPC],CAT005,Neurology
MED002305,85816-8023,"Calc Fluor, Ferr Phos, Mag Phos",Bm Bio23 Icing Sugar,Bm Private Limited,CALCIUM FLUORIDE,3 [hp_X]/g,GLOBULE,ORAL,Calculi Dissolution Agent [EPC],CAT007,Gastrointestinal
MED002322,0832-6024,Carbamazepine,Carbamazepine,"Upsher-Smith Laboratories, Llc",CARBAMAZEPINE,400 mg/1,"TABLET, EXTENDED RELEASE",ORAL,Cytochrome P450 1A2 Inducers [MoA],CAT014,Vitamins & Supplements
MED002323,0832-6032,Fluoxetine Hydrochloride,Fluoxetine Hydrochloride,"Upsher-Smith Laboratories, Llc",FLUOXETINE HYDROCHLORIDE,20 mg/5mL,FOR SOLUTION,ORAL,Serotonin Reuptake Inhibitor [EPC],CAT005,Neurology
MED002337,85966-003,Chlorhexidine Digluconate,Nourishing Hand Sanitizer Sprays,"Guangzhou Saweilan Import & Export Trading Co., Ltd",CHLORHEXIDINE DIGLUCONATE,.012 g/mL,LIQUID,TOPICAL,Decreased Cell Wall Integrity [PE],CAT001,Antibiotics
MED002349,85998-001,"Ethylhexyl Methoxycinnamate, Octocrylene, Titanium Dioxide",Sunscreen Spf50,Guangzhou Tinsun Biotechnology Company Limited,ETHYLHEXYL METHOXYCINNAMATE,6 g/100mL,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED002357,87022-016,Minoxidil,Aromatica Hair Leave In Romero Con Minoxidil,Laboratorio Mk Srl,MINOXIDIL,2 mg/234mL,CREAM,TOPICAL,Arteriolar Vasodilation [PE],CAT003,Diabetes
MED002369,87063-223,Diclofenac Sodium,Diclofenac Sodium,Asclemed Usa Inc.,DICLOFENAC SODIUM,20 mg/g,SOLUTION,TOPICAL,Anti-Inflammatory Agents,CAT004,Pain Management
MED002390,87206-101,2% Salicylic Acid,Acne Treatment Cream,Zytrell Skin Solutions Inc.,SALICYLIC ACID,2 g/100g,CREAM,TOPICAL,UNKNOWN,CAT015,Others
MED002420,0069-1305,Epoetin Alfa-Epbx,Retacrit,Pfizer Laboratories Div Pfizer Inc,EPOETIN,2000 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS,Erythropoiesis-stimulating Agent [EPC],CAT010,Allergy
MED002442,87409-001,Pop On Toothpaste.,Pop On Toothpaste.,"Poponsmiles,Llc",SODIUM FLUORIDE,.243 g/100g,PASTE,TOPICAL,UNKNOWN,CAT015,Others
MED002447,87441-027,Divalproex Sodium,Divalproex Sodium,"Unit Dose Solutions, Inc.",DIVALPROEX SODIUM,250 mg/1,"TABLET, DELAYED RELEASE",ORAL,Anti-epileptic Agent [EPC],CAT005,Neurology
MED002450,87441-064,Ondansetron Hydrochloride,Ondansetron Hydrochloride,"Unit Dose Solutions, Inc.",ONDANSETRON HYDROCHLORIDE,4 mg/1,"TABLET, FILM COATED",ORAL,Serotonin 3 Receptor Antagonists [MoA],CAT005,Neurology
MED002509,98132-038,Titanium Dioxide,Bareminerals Original Liquid Mineral Foundation Broad Spectrum Spf 20 Sunscreen Soft Medium 11,"Orveon Global Us, Llc",TITANIUM DIOXIDE,.747 mg/mL,LIQUID,TOPICAL,UNKNOWN,CAT015,Others
MED002908,0069-4205,Doxorubicin Hydrochloride,Doxorubicin Hydrochloride,Pfizer Laboratories Div Pfizer Inc,DOXORUBICIN HYDROCHLORIDE,2 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,Anthracycline Topoisomerase Inhibitor [EPC],CAT012,Ophthalmology
MED003174,0942-6550,Anticoagulant Citrate Phosphate Dextrose (Cpd) And Adsol Preservation,Adsol Red Cell Preservation,"Fenwal, Inc.",UNKNOWN,UNKNOWN,KIT,UNKNOWN,UNKNOWN,CAT015,Others
MED003349,10019-672,Esmolol Hydrochloride,Brevibloc,Baxter Healthcare Company,ESMOLOL HYDROCHLORIDE,10 mg/mL,INJECTION,INTRAVENOUS,Adrenergic beta-Antagonists [MoA],CAT003,Diabetes
MED003559,0074-0566,Venetoclax,Venclexta,Abbvie Inc.,VENETOCLAX,50 mg/1,"TABLET, FILM COATED",ORAL,BCL-2 Inhibitor [EPC],CAT012,Ophthalmology
MED003720,10210-0022,"Camphor (Synthetic), Petrolatum",Carmex Classic Lip Balm Medicated,"Carma Laboratories, Inc.",CAMPHOR (SYNTHETIC),1.7 g/100g,SALVE,TOPICAL,UNKNOWN,CAT015,Others
MED003868,10237-679,Sodium Fluoride,Arm And Hammer,"Church & Dwight Co., Inc.",SODIUM FLUORIDE,2.4 mg/g,"PASTE, DENTIFRICE",DENTAL,UNKNOWN,CAT015,Others
